年度,リーグ,ステージ,順位,選手名,チーム名,試合数,ポイント,平均スコア,平均順位,最高得点,最高得点順位,最低得点,トップ数,2着数,3着数,4着数,トップ率,トップ率順位,ラス回避率,ラス回避率順位,最多勝利順位,ポイント賞順位,ラス回避率賞順位,最多勝利賞順位,最高得点賞順位,トップ率賞順位,選手ID
2026,Aリーグ,レギュラー,69,キレそう,MJ東京,5,-59.5,-11.9,2.80,"34,300点",88,"7,100点",1,1,1,2,20.0%,64,60.0%,81,65,,,,,,P0097
2026,Aリーグ,レギュラー,70,B地区,レッドリボン軍,5,-60.3,-12.1,2.80,"38,200点",77,"-2,200点",1,1,1,2,20.0%,65,60.0%,82,66,,,,,,P0021
2026,Aリーグ,レギュラー,71,ベヘリット,レッドリボン軍,6,-63.2,-10.5,3.00,"78,700点",2,"-2,100点",1,1,1,3,16.7%,70,50.0%,90,70,,,,,,P0174
2026,Aリーグ,レギュラー,72,ひろとだポン,電光石火,9,-66,-7.3,2.67,"36,300点",84,"-4,900点",2,2,2,3,22.2%,59,66.7%,72,59,64,71,58,77.00,57,P0163
2026,Aリーグ,レギュラー,73,石川安牌,SILVER WOLVES,7,-72.5,-10.4,2.71,"36,200点",85,"5,300点",0,4,1,2,0.0%,89,71.4%,62,92,65,61,78,78.00,80,P0284
2026,Aリーグ,レギュラー,74,乙子,武装,5,-73,-14.6,3.00,"33,400点",90,"7,100点",1,1,0,3,20.0%,66,40.0%,95,67,,,,,,P0236
2026,Aリーグ,レギュラー,75,たちこま,たちこまーず,9,-81.9,-9.1,2.67,"36,700点",82,"-12,900点",2,2,2,3,22.2%,60,66.7%,73,60,66,72,59,75.00,58,P0134
2026,Aリーグ,レギュラー,76,ねこます,最強位ズ,10,-82,-8.2,2.60,"39,000点",74,"-17,400点",2,2,4,2,20.0%,63,80.0%,32,62,67,31,61,69.00,61,P0155
2026,Aリーグ,レギュラー,77,はち,たちこまーず,7,-84.5,-12.1,2.71,"32,900点",91,"1,400点",1,2,2,2,14.3%,76,71.4%,63,76,68,62,67,81.00,67,P0157
2026,Aリーグ,レギュラー,78,どうみき,SSブルーバーズ,5,-85,-17,3.00,"40,100点",69,"7,200点",1,1,0,3,20.0%,67,40.0%,96,68,,,,,,P0141
2026,Aリーグ,レギュラー,79,サヴェ松田,SSブルーバーズ,7,-91.9,-13.1,2.71,"44,600点",50,"-13,600点",2,1,1,3,28.6%,36,57.1%,84,38,69,78,37,48.00,34,P0107
2026,Aリーグ,レギュラー,80,打撃系ヤルカツ,MJAC愛好会,7,-94.4,-13.5,2.71,"27,900点",97,"4,500点",1,2,2,2,14.3%,77,71.4%,64,77,70,63,68,86.00,68,P0295
2026,Aリーグ,レギュラー,81,アベキング,武装,8,-95.4,-11.9,2.75,"46,900点",42,"-4,000点",1,2,3,2,12.5%,80,75.0%,52,80,71,51,71,39.00,71,P0070
2026,Aリーグ,レギュラー,82,冬のミルク,MJAC愛好会,7,-111.3,-15.9,2.86,"31,500点",92,"12,700点",0,3,2,2,0.0%,90,71.4%,65,93,72,64,79,82.00,81,P0304
2026,Aリーグ,レギュラー,83,フミオ,電光石火,2,-114.2,-57.1,3.50,"5,400点",100,"-19,600点",0,0,1,1,0.0%,100,50.0%,92,88,,,,,,P0168
2026,Aリーグ,レギュラー,84,つかぴー,MJAC愛好会,7,-127.2,-18.2,2.86,"29,300点",95,"9,200点",0,3,2,2,0.0%,91,71.4%,66,94,73,65,80,85.00,82,P0137
2026,Aリーグ,レギュラー,85,まーくん RMU,SILVER WOLVES,8,-129.6,-16.2,2.88,"44,800点",48,"5,200点",1,1,4,2,12.5%,81,75.0%,53,81,74,52,72,45.00,72,P0184
2026,Aリーグ,レギュラー,86,rinruka,ＺＯＯ,10,-132.3,-13.2,2.90,"54,900点",25,"8,400点",1,2,4,3,10.0%,84,70.0%,69,84,75,68,75,24.00,75,P0052
2026,Aリーグ,レギュラー,87,梁瀬健太郎,レッドリボン軍,7,-140.3,-20,3.00,"44,600点",50,"1,100点",0,2,3,2,0.0%,92,71.4%,67,95,76,66,81,49.00,83,P0063
2026,Aリーグ,レギュラー,88,教室生 ユウ,MJAC愛好会,7,-144.2,-20.6,3.00,"41,600点",64,"-3,800点",1,2,0,4,14.3%,78,42.9%,93,78,77,84,69,62.00,69,P0248
2026,Aリーグ,レギュラー,89,0rb 01,ＺＯＯ,3,-144.9,-48.3,3.67,"22,300点",98,"-12,200点",0,0,1,2,0.0%,97,33.3%,99,90,,,,,,P0012
2026,Aリーグ,レギュラー,90,ミッキー柳井,電光石火,3,-147.2,-49.1,3.67,"20,800点",99,"-21,100点",0,0,1,2,0.0%,98,33.3%,100,91,,,,,,P0194
2026,Aリーグ,レギュラー,91,とむとむ,武装,8,-162.5,-20.3,3.00,"36,500点",83,200点,2,0,2,4,25.0%,50,50.0%,89,50,78,83,49,76.00,48,P0146
2026,Aリーグ,レギュラー,92,せなmam@,enjoyすればイイ雀！,9,-167.1,-18.6,3.00,"41,900点",62,"1,600点",0,3,3,3,0.0%,88,66.7%,74,100,79,73,86,60.00,79,P0124
2026,Aリーグ,レギュラー,93,おむ,SSブルーバーズ,7,-178.4,-25.5,3.14,"31,300点",93,"-1,200点",0,1,4,2,0.0%,93,71.4%,68,96,80,67,82,83.00,84,P0086
2026,Aリーグ,レギュラー,94,おしゃる,たちこまーず,6,-181.2,-30.2,3.33,"41,000点",66,"-12,500点",1,0,1,4,16.7%,71,33.3%,98,71,,,,,,P0082
2026,Aリーグ,レギュラー,95,Hara,SSブルーバーズ,8,-183,-22.9,3.13,"47,300点",41,"-9,000点",1,2,0,5,12.5%,82,37.5%,97,82,81,86,73,38.00,73,P0029
2026,Aリーグ,レギュラー,96,ツナマヨ,武装,7,-199.1,-28.4,3.00,"33,900点",89,"-7,600点",0,3,1,3,0.0%,94,57.1%,85,97,82,79,83,80.00,85,P0138
2026,Aリーグ,レギュラー,97,ハナノア,SSブルーバーズ,7,-221.5,-31.6,3.29,"44,100点",55,"-19,000点",1,0,2,4,14.3%,79,42.9%,94,79,83,85,70,52.00,70,P0158
2026,Aリーグ,レギュラー,98,ぽこぽこぽこり,HIVE,11,-225.3,-20.5,2.91,"38,900点",75,"-26,700点",1,2,5,3,9.1%,86,72.7%,55,86,84,54,77,70.00,77,P0179
2026,Aリーグ,レギュラー,99,かに,enjoyすればイイ雀！,7,-226.5,-32.4,3.14,"31,300点",93,"-10,900点",0,2,2,3,0.0%,95,57.1%,86,98,85,80,84,84.00,86,P0091
2026,Aリーグ,レギュラー,100,最後のZ戦士達,HIVE,10,-231.6,-23.2,3.10,"34,400点",87,"3,300点",1,2,2,5,10.0%,85,50.0%,87,85,86,81,76,79.00,76,P0261
2026,Bリーグ,セミファイナル,1,しげぞー,チートイズ,3,142.1,47.4,1.67,"80,500点",1,"23,800点",2,0,1,0,66.7%,7,100.0%,1,1,,,,,,P0114
2026,Bリーグ,セミファイナル,2,小林宏康,Team MJ lovers,3,103.1,34.4,1.67,"46,000点",9,"22,900点",2,0,1,0,66.7%,8,100.0%,2,2,,,,,,P0275
2026,Bリーグ,セミファイナル,3,☆魔雀T塾生☆,教室生☆KSC,2,83.2,41.6,1.50,"51,500点",6,"31,700点",1,1,0,0,50.0%,9,100.0%,4,9,,,,,,P0010
2026,Bリーグ,セミファイナル,4,ゆっしー@,Team MJ lovers,1,78,78,1.00,"58,000点",3,"58,000点",1,0,0,0,100.0%,1,100.0%,11,3,,,,,,P0207
2026,Bリーグ,セミファイナル,5,はなびん,さわやかMJ野郎の会,1,75.4,75.4,1.00,"55,400点",4,"55,400点",1,0,0,0,100.0%,2,100.0%,12,4,,,,,,P0159
2026,Bリーグ,セミファイナル,6,公務員麻雀M,チートイズ,2,73.5,36.8,1.50,"50,100点",7,"23,400点",1,1,0,0,50.0%,10,100.0%,5,10,,,,,,P0258
2026,Bリーグ,セミファイナル,7,サブ垢先輩,Brave Revengers,1,72.1,72.1,1.00,"52,100点",5,"52,100点",1,0,0,0,100.0%,3,100.0%,13,5,,,,,,P0109
2026,Bリーグ,セミファイナル,8,パイ乙戦士全ツ,さわやかMJ野郎の会,1,63.3,63.3,1.00,"43,300点",10,"43,300点",1,0,0,0,100.0%,4,100.0%,14,6,,,,,,P0156
2026,Bリーグ,セミファイナル,9,ソニア@SMY会,さわやかMJ野郎の会,1,58.1,58.1,1.00,"38,100点",13,"38,100点",1,0,0,0,100.0%,5,100.0%,15,7,,,,,,P0127
2026,Bリーグ,セミファイナル,10,りきまーる,Brave Revengers,1,55.5,55.5,1.00,"35,500点",14,"35,500点",1,0,0,0,100.0%,6,100.0%,16,8,,,,,,P0214
2026,Bリーグ,セミファイナル,11,りゅー,Brave Revengers,2,43,21.5,2.50,"70,100点",2,"12,900点",1,0,0,1,50.0%,11,50.0%,30,11,,,,,,P0215
2026,Bリーグ,セミファイナル,12,鰤トニー,おたまーず,2,39,19.5,2.00,"41,000点",11,"18,000点",1,0,1,0,50.0%,12,100.0%,6,12,,,,,,P0326
2026,Bリーグ,セミファイナル,13,あすてる,チートイズ,2,21,10.5,2.00,"31,600点",18,"29,400点",0,2,0,0,0.0%,18,100.0%,7,30,,,,,,P0067
2026,Bリーグ,セミファイナル,14,海賊王,さわやかMJ野郎の会,1,13.6,13.6,2.00,"33,600点",15,"33,600点",0,1,0,0,0.0%,25,100.0%,17,15,,,,,,P0238
2026,Bリーグ,セミファイナル,15,溝渕智也,Team MJ lovers,1,10.1,10.1,2.00,"30,100点",20,"30,100点",0,1,0,0,0.0%,26,100.0%,18,16,,,,,,P0259
2026,Bリーグ,セミファイナル,16,★月刃★,さわやかMJ野郎の会,1,2.9,2.9,2.00,"22,900点",27,"22,900点",0,1,0,0,0.0%,27,100.0%,19,17,,,,,,P0006
2026,Bリーグ,セミファイナル,17,ysk,Team MJ lovers,3,1.2,0.4,2.33,"40,200点",12,"19,000点",0,2,1,0,0.0%,15,100.0%,3,37,,,,,,P0065
2026,Bリーグ,セミファイナル,17,中出雄介,Team MJ lovers,1,1.2,1.2,2.00,"21,200点",28,"21,200点",0,1,0,0,0.0%,28,100.0%,20,18,,,,,,P0298
2026,Bリーグ,セミファイナル,19,エイデン二号機,おたまーず,2,-7.2,-3.6,2.50,"31,700点",17,"21,100点",0,1,1,0,0.0%,19,100.0%,8,31,,,,,,P0075
2026,Bリーグ,セミファイナル,20,μゆぅちゃん,Team MJ lovers,1,-10.7,-10.7,3.00,"29,300点",22,"29,300点",0,0,1,0,0.0%,29,100.0%,21,19,,,,,,P0327
2026,Bリーグ,セミファイナル,21,青ヒゲ危機一髪,教室生☆KSC,1,-11.8,-11.8,3.00,"28,200点",24,"28,200点",0,0,1,0,0.0%,30,100.0%,22,20,,,,,,P0283
2026,Bリーグ,セミファイナル,22,羽田暁音,おたまーず,2,-12.3,-6.2,2.50,"29,600点",21,"18,100点",0,1,1,0,0.0%,20,100.0%,9,32,,,,,,P0232
2026,Bリーグ,セミファイナル,23,元教室生タク,教室生☆KSC,1,-13,-13,3.00,"27,000点",25,"27,000点",0,0,1,0,0.0%,31,100.0%,23,21,,,,,,P0255
2026,Bリーグ,セミファイナル,24,Anmi,教室生☆KSC,2,-13.6,-6.8,2.50,"24,800点",26,"21,600点",0,1,1,0,0.0%,21,100.0%,10,33,,,,,,P0016
2026,Bリーグ,セミファイナル,25,樹央,おたまーず,3,-20.9,-7,2.67,"48,000点",8,"-13,100点",1,0,1,1,33.3%,13,66.7%,28,13,,,,,,P0268
2026,Bリーグ,セミファイナル,26,黙示録@SMY会,さわやかMJ野郎の会,1,-21.9,-21.9,3.00,"18,100点",31,"18,100点",0,0,1,0,0.0%,32,100.0%,24,22,,,,,,P0316
2026,Bリーグ,セミファイナル,27,Blue-K18,さわやかMJ野郎の会,1,-25.6,-25.6,3.00,"14,400点",32,"14,400点",0,0,1,0,0.0%,33,100.0%,25,23,,,,,,P0018
2026,Bリーグ,セミファイナル,28,だてまきたまご,さわやかMJ野郎の会,1,-26.4,-26.4,3.00,"13,600点",33,"13,600点",0,0,1,0,0.0%,34,100.0%,26,24,,,,,,P0135
2026,Bリーグ,セミファイナル,29,悠紀子,教室生☆KSC,3,-27.1,-9,2.67,"29,200点",23,"17,300点",0,2,0,1,0.0%,16,66.7%,29,38,,,,,,P0318
2026,Bリーグ,セミファイナル,30,黒太郎@SMY会,さわやかMJ野郎の会,1,-27.4,-27.4,3.00,"12,600点",34,"12,600点",0,0,1,0,0.0%,35,100.0%,27,25,,,,,,P0260
2026,Bリーグ,セミファイナル,31,喜多剛士@μ,Team MJ lovers,2,-32.2,-16.1,3.00,"33,100点",16,"14,700点",0,1,0,1,0.0%,22,50.0%,31,34,,,,,,P0241
2026,Bリーグ,セミファイナル,32,つよ,さわやかMJ野郎の会,1,-47.4,-47.4,4.00,"12,600点",34,"12,600点",0,0,0,1,0.0%,36,0.0%,36,26,,,,,,P0139
2026,Bリーグ,セミファイナル,33,ペン,Brave Revengers,1,-55.4,-55.4,4.00,"4,600点",37,"4,600点",0,0,0,1,0.0%,37,0.0%,37,27,,,,,,P0175
2026,Bリーグ,セミファイナル,34,くれば,おたまーず,1,-71.9,-71.9,4.00,"-11,900点",38,"-11,900点",0,0,0,1,0.0%,38,0.0%,38,28,,,,,,P0101
2026,Bリーグ,セミファイナル,35,Redstar,教室生☆KSC,1,-74,-74,4.00,"-14,000点",39,"-14,000点",0,0,0,1,0.0%,39,0.0%,39,29,,,,,,P0051
2026,Bリーグ,セミファイナル,36,dia,チートイズ,2,-85.5,-42.8,3.50,"18,400点",30,"-3,900点",0,0,1,1,0.0%,23,50.0%,32,35,,,,,,P0023
2026,Bリーグ,セミファイナル,37,014のりたま,チートイズ,3,-99.3,-33.1,3.00,"31,500点",19,"-21,800点",1,0,0,2,33.3%,14,33.3%,33,14,,,,,,P0011
2026,Bリーグ,セミファイナル,38,みり,Brave Revengers,2,-112.7,-56.4,4.00,"7,700点",36,-400点,0,0,0,2,0.0%,24,0.0%,35,36,,,,,,P0196
2026,Bリーグ,セミファイナル,39,nesre,Brave Revengers,3,-140,-46.7,4.00,"19,200点",29,"6,000点",0,0,0,3,0.0%,17,0.0%,34,39,,,,,,P0047
2026,Bリーグ,レギュラー,1,nesre,Brave Revengers,9,413.3,45.9,1.44,"79,300点",1,"4,100点",7,1,0,1,77.8%,2,88.9%,16,1,1,12,1,1.00,1,P0047
2026,Bリーグ,レギュラー,2,フィーレン,Vertice,17,354.9,20.9,1.88,"54,200点",25,"10,500点",7,5,5,0,41.2%,15,100.0%,1,3,2,1,3,22.00,12,P0164
2026,Bリーグ,レギュラー,3,Redstar,教室生☆KSC,12,281.3,23.4,2.00,"60,600点",9,"-16,000点",7,1,1,3,58.3%,4,75.0%,43,2,3,36,2,9.00,2,P0051
2026,Bリーグ,レギュラー,4,はなびん,さわやかMJ野郎の会,5,255.9,51.2,1.20,"55,900点",19,"21,500点",4,1,0,0,80.0%,1,100.0%,7,10,,,,,,P0159
2026,Bリーグ,レギュラー,5,dia,チートイズ,9,253.2,28.1,1.78,"52,200点",31,"20,600点",3,5,1,0,33.3%,24,100.0%,4,26,4,4,24,28.00,21,P0023
2026,Bリーグ,レギュラー,6,小林宏康,Team MJ lovers,12,240.5,20,2.00,"58,100点",13,"18,300点",4,4,4,0,33.3%,22,100.0%,2,15,5,2,14,13.00,19,P0275
2026,Bリーグ,レギュラー,7,まんまる,La vie en Rose,10,238.7,23.9,2.00,"77,800点",2,"12,500点",3,5,1,1,30.0%,30,90.0%,15,28,6,11,26,2.00,26,P0190
2026,Bリーグ,レギュラー,8,喜多剛士@μ,Team MJ lovers,11,231.3,21,1.91,"43,900点",59,"17,300点",5,2,4,0,45.5%,8,100.0%,3,5,7,3,5,54.00,5,P0241
2026,Bリーグ,レギュラー,9,樹央,おたまーず,11,224.3,20.4,1.91,"57,900点",16,"-23,200点",5,3,2,1,45.5%,9,90.9%,13,6,8,9,6,15.00,6,P0268
2026,Bリーグ,レギュラー,10,元教室生タク,教室生☆KSC,11,223.6,20.3,2.00,"54,300点",24,"12,900点",5,2,3,1,45.5%,10,90.9%,14,7,9,10,7,21.00,7,P0255
2026,Bリーグ,レギュラー,11,つよ,さわやかMJ野郎の会,5,211.5,42.3,1.40,"49,300点",41,"28,600点",3,2,0,0,60.0%,3,100.0%,8,20,,,,,,P0139
2026,Bリーグ,レギュラー,12,あすてる,チートイズ,12,172.8,14.4,2.17,"55,800点",20,-700点,3,5,3,1,25.0%,34,91.7%,11,31,10,7,29,18.00,30,P0067
2026,Bリーグ,レギュラー,13,★月刃★,さわやかMJ野郎の会,7,165.5,23.6,2.00,"47,400点",46,"13,600点",4,0,2,1,57.1%,5,85.7%,22,11,11,18,10,42.00,3,P0006
2026,Bリーグ,レギュラー,14,みーやん19,Vertice,13,162.8,12.5,2.31,"74,500点",3,"10,500点",5,1,5,2,38.5%,16,84.6%,27,8,12,23,8,3.00,13,P0192
2026,Bリーグ,レギュラー,15,鰤トニー,おたまーず,11,146.8,13.3,2.18,"61,200点",7,"-1,600点",4,3,2,2,36.4%,20,81.8%,33,13,13,28,12,7.00,17,P0326
2026,Bリーグ,レギュラー,16,海賊王,さわやかMJ野郎の会,8,138,17.3,2.00,"46,600点",48,"23,300点",2,4,2,0,25.0%,36,100.0%,5,38,14,5,35,44.00,32,P0238
2026,Bリーグ,レギュラー,17,しげぞー,チートイズ,13,132.5,10.2,2.23,"52,700点",28,"-9,400点",6,2,1,4,46.2%,7,69.2%,60,4,15,52,4,25.00,4,P0114
2026,Bリーグ,レギュラー,18,３１０７,La vie en Rose,9,126.7,14.1,2.11,"50,900点",36,"5,400点",4,1,3,1,44.4%,11,88.9%,17,12,16,13,11,33.00,8,P0013
2026,Bリーグ,レギュラー,19,ジョーカー,La vie en Rose,7,123,17.6,2.00,"48,300点",43,"2,900点",3,2,1,1,42.9%,12,85.7%,23,21,17,19,19,39.00,9,P0118
2026,Bリーグ,レギュラー,20,神田大行,TEAM AJITO,13,111,8.5,2.31,"72,200点",5,"-9,000点",5,2,3,3,38.5%,17,76.9%,41,9,18,34,9,5.00,14,P0282
2026,Bリーグ,レギュラー,21,shige,IRU,8,105.4,13.2,2.13,"46,200点",50,"20,900点",2,3,3,0,25.0%,37,100.0%,6,39,19,6,36,46.00,33,P0056
2026,Bリーグ,レギュラー,22,蒼,IRU,6,99.4,16.6,2.00,"45,300点",55,"20,800点",2,3,0,1,33.3%,26,83.3%,32,36,,,,,,P0293
2026,Bリーグ,レギュラー,23,悠紀子,教室生☆KSC,11,95.3,8.7,2.36,"58,800点",12,800点,4,2,2,3,36.4%,21,72.7%,50,14,20,42,13,12.00,18,P0318
2026,Bリーグ,レギュラー,24,YOU太郎,他力本願寺,13,85.1,6.5,2.38,"62,100点",6,"-8,700点",4,4,1,4,30.8%,27,69.2%,61,17,21,53,16,6.00,23,P0064
2026,Bリーグ,レギュラー,25,chemi,TEAM AJITO,8,84,10.5,2.25,"40,000点",68,"2,900点",3,2,1,2,37.5%,18,75.0%,45,24,22,38,22,62.00,15,P0022
2026,Bリーグ,レギュラー,26,エイデン二号機,おたまーず,12,81.2,6.8,2.25,"42,900点",61,"-1,700点",4,3,3,2,33.3%,23,83.3%,31,16,23,27,15,56.00,20,P0075
2026,Bリーグ,レギュラー,27,黒太郎@SMY会,さわやかMJ野郎の会,9,70.9,7.9,2.22,"55,000点",22,"-11,800点",3,2,3,1,33.3%,25,88.9%,18,27,24,14,25,19.00,22,P0260
2026,Bリーグ,レギュラー,28,中出雄介,Team MJ lovers,2,65.7,32.9,1.50,"41,900点",63,"23,800点",1,1,0,0,50.0%,6,100.0%,9,53,,,,,,P0298
2026,Bリーグ,レギュラー,29,くれば,おたまーず,13,63.9,4.9,2.46,"58,100点",13,"1,900点",4,3,2,4,30.8%,28,69.2%,62,18,25,54,17,14.00,24,P0101
2026,Bリーグ,レギュラー,30,ペン,Brave Revengers,10,60.1,6,2.40,"48,800点",42,"2,200点",3,3,1,3,30.0%,31,70.0%,58,29,26,50,27,38.00,27,P0175
2026,Bリーグ,レギュラー,31,☆魔雀T塾生☆,教室生☆KSC,13,52.1,4,2.31,"59,200点",10,"-3,300点",3,5,3,2,23.1%,42,84.6%,28,33,27,24,31,10.00,38,P0010
2026,Bリーグ,レギュラー,32,サブ垢先輩,Brave Revengers,8,34,4.3,2.25,"47,000点",47,"1,200点",2,3,2,1,25.0%,38,87.5%,20,40,28,16,37,43.00,34,P0109
2026,Bリーグ,レギュラー,33,青ヒゲ危機一髪,教室生☆KSC,2,32.3,16.2,2.00,"38,000点",73,"34,300点",0,2,0,0,0.0%,89,100.0%,10,79,,,,,,P0283
2026,Bリーグ,レギュラー,34,TOM,TEAM AJITO,10,28.1,2.8,2.30,"43,000点",60,"-8,400点",3,3,2,2,30.0%,32,80.0%,35,30,29,30,28,55.00,28,P0057
2026,Bリーグ,レギュラー,35,猪突猛進男,IRU,13,26,2,2.54,"61,200点",7,"-8,200点",4,3,1,5,30.8%,29,61.5%,71,19,30,62,18,8.00,25,P0299
2026,Bリーグ,レギュラー,36,KGRS,TEAM AJITO,7,25.5,3.6,2.57,"44,500点",57,"9,300点",3,0,1,3,42.9%,13,57.1%,74,22,31,64,20,52.00,10,P0037
2026,Bリーグ,レギュラー,37,まんまるきや,他力本願寺,12,23.5,2,2.50,"52,700点",28,"1,900点",3,3,3,3,25.0%,35,75.0%,44,32,32,37,30,26.00,31,P0191
2026,Bリーグ,レギュラー,38,ソニア@SMY会,さわやかMJ野郎の会,7,17.7,2.5,2.57,"54,600点",23,"-2,500点",3,0,1,3,42.9%,14,57.1%,75,23,33,65,21,20.00,11,P0127
2026,Bリーグ,レギュラー,39,Blue-K18,さわやかMJ野郎の会,7,9,1.3,2.43,"32,900点",80,"17,900点",1,3,2,1,14.3%,57,85.7%,24,57,34,20,50,71.00,50,P0018
2026,Bリーグ,レギュラー,40,みり,Brave Revengers,5,5.6,1.1,2.40,"58,000点",15,"-17,500点",1,2,1,1,20.0%,48,80.0%,37,54,,,,,,P0196
2026,Bリーグ,レギュラー,41,ふとふと,La vie en Rose,9,0.5,0.1,2.44,"50,700点",37,"2,500点",2,3,2,2,22.2%,45,77.8%,39,44,35,32,41,34.00,41,P0167
2026,Bリーグ,レギュラー,42,支援紳士,TEAM AJITO,10,-4.7,-0.5,2.50,"50,400点",39,0点,2,3,3,2,20.0%,47,80.0%,36,46,36,31,43,36.00,43,P0265
2026,Bリーグ,レギュラー,43,なほみん,La vie en Rose,8,-5.9,-0.7,2.38,"36,900点",75,"-20,400点",2,3,1,2,25.0%,39,75.0%,46,41,38,39,38,67.00,35,P0153
2026,Bリーグ,レギュラー,44,Anmi,教室生☆KSC,12,-5.9,-0.5,2.50,"57,800点",18,"8,100点",2,3,6,1,16.7%,53,91.7%,12,49,37,8,46,17.00,46,P0016
2026,Bリーグ,レギュラー,45,だーはら,Brave Revengers,8,-8,-1,2.50,"45,700点",53,"-15,800点",3,1,1,3,37.5%,19,62.5%,69,25,39,60,23,49.00,16,P0129
2026,Bリーグ,レギュラー,46,？？？？？,IRU,13,-15.4,-1.2,2.54,"48,100点",45,"6,500点",3,2,6,2,23.1%,43,84.6%,29,34,40,25,32,41.00,39,P0001
2026,Bリーグ,レギュラー,47,μゆぅちゃん,Team MJ lovers,8,-21.8,-2.7,2.50,"39,100点",71,"7,100点",2,1,4,1,25.0%,40,87.5%,21,42,41,17,39,64.00,36,P0327
2026,Bリーグ,レギュラー,48,桐生れいか,他力本願寺,11,-21.9,-2,2.45,"46,200点",50,"-21,000点",2,5,1,3,18.2%,51,72.7%,51,47,42,43,44,47.00,44,P0252
2026,Bリーグ,レギュラー,49,羽田暁音,おたまーず,11,-23.5,-2.1,2.55,"44,900点",56,"7,700点",2,4,2,3,18.2%,52,72.7%,52,48,43,44,45,51.00,45,P0232
2026,Bリーグ,レギュラー,50,aoking,IRU,9,-28.7,-3.2,2.44,"51,600点",33,"2,200点",1,4,3,1,11.1%,69,88.9%,19,69,44,15,62,30.00,62,P0017
2026,Bリーグ,レギュラー,51,黙示録@SMY会,さわやかMJ野郎の会,7,-37.4,-5.3,2.71,"59,100点",11,"-4,300点",1,1,4,1,14.3%,58,85.7%,25,58,45,21,51,11.00,51,P0316
2026,Bリーグ,レギュラー,52,014のりたま,チートイズ,9,-40.7,-4.5,2.78,"53,100点",26,"8,800点",2,1,3,3,22.2%,46,66.7%,66,45,46,58,42,23.00,42,P0011
2026,Bリーグ,レギュラー,53,小四喜大好き,楽しめばイイ雀,12,-43.9,-3.7,2.67,"57,900点",16,"2,100点",2,4,2,4,16.7%,54,66.7%,64,50,47,56,47,16.00,47,P0272
2026,Bリーグ,レギュラー,54,パイ乙戦士全ツ,さわやかMJ野郎の会,7,-46.4,-6.6,2.71,"46,100点",52,"10,800点",1,2,2,2,14.3%,59,71.4%,54,59,48,46,52,48.00,52,P0156
2026,Bリーグ,レギュラー,55,川端由紀,教室生☆KSC,1,-48.7,-48.7,4.00,"11,300点",90,"11,300点",0,0,0,1,0.0%,90,0.0%,90,77,,,,,,P0289
2026,Bリーグ,レギュラー,56,しょう&るな,Vertice,7,-54.6,-7.8,2.71,"50,200点",40,"2,700点",1,2,2,2,14.3%,60,71.4%,55,60,49,47,53,37.00,53,P0117
2026,Bリーグ,レギュラー,57,ysk,Team MJ lovers,7,-56.1,-8,2.71,"38,300点",72,"4,800点",1,1,4,1,14.3%,61,85.7%,26,61,50,22,54,65.00,54,P0065
2026,Bリーグ,レギュラー,58,moka,Vertice,13,-56.7,-4.4,2.62,"40,800点",67,"5,900点",2,3,6,2,15.4%,55,84.6%,30,51,51,26,48,61.00,48,P0042
2026,Bリーグ,レギュラー,59,おさやスイープ,チートイズ,7,-59.9,-8.6,2.71,"45,600点",54,"9,900点",1,2,2,2,14.3%,62,71.4%,56,62,52,48,55,50.00,55,P0081
2026,Bリーグ,レギュラー,60,ポルタ,La vie en Rose,5,-64,-12.8,2.80,"39,600点",69,"4,400点",1,0,3,1,20.0%,49,80.0%,38,55,,,,,,P0182
2026,Bリーグ,レギュラー,61,ｋｅｎ@あじと,TEAM AJITO,8,-67.9,-8.5,2.63,"46,400点",49,"-3,300点",1,3,2,2,12.5%,65,75.0%,47,65,53,40,58,45.00,58,P0036
2026,Bリーグ,レギュラー,62,仇森龍,Brave Revengers,12,-69.5,-5.8,2.67,"51,600点",33,"-8,000点",1,6,1,4,8.3%,75,66.7%,65,75,54,57,68,31.00,68,P0245
