年度,リーグ,ステージ,試合No,日付,時間,チーム名,選手名,スコア,着順,試合,得点,選手ID
2023,単一リーグ,レギュラー,117,2023/7/25,21:00,クレイジーダイヤモンド,使いの空,12,2,第1試合,32000,P0264
2023,単一リーグ,レギュラー,118,2023/7/25,21:00,最強位ズ,ダイゴ,-52.7,4,第1試合,7300,P0130
2023,単一リーグ,レギュラー,118,2023/7/25,21:00,星の砂 Stardust Collectors,久田賢太（最）,2.2,2,第1試合,22200,P0243
2023,単一リーグ,レギュラー,118,2023/7/25,21:00,さわやかMJ野郎の会,ソニア@SMY会,72.9,1,第1試合,52900,P0127
2023,単一リーグ,レギュラー,118,2023/7/25,21:00,レッドリボン軍,yanase@RMU,-22.4,3,第1試合,17600,P0063
2023,単一リーグ,レギュラー,119,2023/7/25,22:00,たちこまーず,シクラメン富男,-15.9,3,第2試合,24100,P0113
2023,単一リーグ,レギュラー,119,2023/7/25,22:00,SSブルーバーズ,ハナノア,10.5,2,第2試合,30500,P0158
2023,単一リーグ,レギュラー,119,2023/7/25,22:00,TEAMS Rabbit_Yohan,ひぽきよし,-61.1,4,第2試合,-1100,P0162
2023,単一リーグ,レギュラー,119,2023/7/25,22:00,クレイジーダイヤモンド,クピドの悪戯,66.5,1,第2試合,46500,P0099
2023,単一リーグ,レギュラー,120,2023/7/25,22:00,最強位ズ,ブ茶ラティ,68.6,1,第2試合,48600,P0171
2023,単一リーグ,レギュラー,120,2023/7/25,22:00,星の砂 Stardust Collectors,店長倍損の上司,-51.1,4,第2試合,8900,P0302
2023,単一リーグ,レギュラー,120,2023/7/25,22:00,さわやかMJ野郎の会,黒太郎@SMY会,2.6,2,第2試合,22600,P0260
2023,単一リーグ,レギュラー,120,2023/7/25,22:00,レッドリボン軍,レッドスター,-20.1,3,第2試合,19900,P0220
2023,単一リーグ,レギュラー,121,2023/7/27,21:00,最強位ズ,リョータ,7.3,2,第1試合,27300,P0217
2023,単一リーグ,レギュラー,121,2023/7/27,21:00,SILVER WOLVES,まーくん RMU,-18,3,第1試合,22000,P0184
2023,単一リーグ,レギュラー,121,2023/7/27,21:00,関西麻雀保安協会,玉緒,49.4,1,第1試合,29400,P0251
2023,単一リーグ,レギュラー,121,2023/7/27,21:00,星の砂 Stardust Collectors,PPPするぞ★,-38.7,4,第1試合,21300,P0050
2023,単一リーグ,レギュラー,122,2023/7/27,21:00,さわやかMJ野郎の会,海賊王,-15.3,3,第1試合,24700,P0238
2023,単一リーグ,レギュラー,122,2023/7/27,21:00,クレイジーダイヤモンド,クピドの悪戯,-51.8,4,第1試合,8200,P0099
2023,単一リーグ,レギュラー,122,2023/7/27,21:00,レッドリボン軍,レッド総帥,11.8,2,第1試合,31800,P0221
2023,単一リーグ,レギュラー,122,2023/7/27,21:00,SSブルーバーズ,桃瀬古都,55.3,1,第1試合,35300,P0305
2023,単一リーグ,レギュラー,123,2023/7/27,22:00,最強位ズ,まびたん,-22.2,3,第2試合,17800,P0187
2023,単一リーグ,レギュラー,123,2023/7/27,22:00,SILVER WOLVES,上野あいみ,0.5,2,第2試合,20500,P0279
2023,単一リーグ,レギュラー,123,2023/7/27,22:00,関西麻雀保安協会,おじょう,-51.3,4,第2試合,8700,P0083
2023,単一リーグ,レギュラー,123,2023/7/27,22:00,星の砂 Stardust Collectors,全速ゆーへい,73,1,第2試合,53000,P0291
