年度,リーグ,ステージ,順位,選手名,チーム名,試合数,ポイント,平均スコア,平均順位,最高得点,最高得点順位,最低得点,トップ数,2着数,3着数,4着数,トップ率,トップ率順位,ラス回避率,ラス回避率順位,最多勝利順位,ポイント賞順位,ラス回避率賞順位,最多勝利賞順位,最高得点賞順位,トップ率賞順位
2025,Bリーグ,レギュラー,3,戯言遣い,ＺＯＯ,15,239,15.9,2.20,"88,800点",3,"6,700点",5,4,4,2,33.3%,23,86.7%,18,10,3,16,10,3,20
2025,Bリーグ,レギュラー,4,女帝ハンコック,サクラフレンズ,13,192.8,14.8,2.08,"61,500点",12,"-19,200点",6,3,1,3,46.2%,7,76.9%,43,3,4,36,3,12,5
2025,Bリーグ,レギュラー,5,たちこま,たちこまーず,7,188.8,27,2.00,"77,800点",4,"12,600点",4,0,2,1,57.1%,3,85.7%,19,12,5,17,11,4,1
2025,Bリーグ,レギュラー,6,JILL,たちこまーず,10,188.7,18.9,2.10,"69,900点",7,"-21,000点",5,1,2,2,50.0%,5,80.0%,28,5,6,23,5,7,3
2025,Bリーグ,レギュラー,7,miiko,ガラスのお面,14,187,13.4,2.14,"71,200点",5,-200点,4,7,0,3,28.6%,34,78.6%,35,20,7,28,19,5,28
2025,Bリーグ,レギュラー,8,よつば@tobi,たちこまーず,6,184.4,30.7,1.67,"43,800点",51,"9,000点",4,1,0,1,66.7%,1,83.3%,21,11,,,,,
2025,Bリーグ,レギュラー,9,鞘,チームミラデミア,13,184.2,14.2,2.23,"57,600点",17,"-14,400点",6,1,3,3,46.2%,8,76.9%,44,4,8,37,4,16,6
2025,Bリーグ,レギュラー,10,ブ茶ラティ,最強位ズ,11,175.3,15.9,2.09,"55,200点",23,"9,600点",4,4,1,2,36.4%,19,81.8%,24,15,9,19,14,20,16
2025,Bリーグ,レギュラー,11,カルア,HIVE,8,167.1,20.9,1.88,"43,500点",52,"19,900点",3,3,2,0,37.5%,17,100.0%,2,25,10,2,23,46,14
2025,Bリーグ,レギュラー,12,羽田暁音,おたまーず,7,162,23.1,1.86,"53,300点",29,"18,400点",3,2,2,0,42.9%,12,100.0%,3,23,11,3,21,26,10
2025,Bリーグ,レギュラー,13,サンタマルコ,ＺＯＯ,14,158.5,11.3,2.21,"68,300点",8,-900点,5,4,2,3,35.7%,22,78.6%,36,9,12,29,9,8,19
2025,Bリーグ,レギュラー,14,ｒｒｒｒｒｒ,最強位ズ,11,157.3,14.3,2.09,"50,000点",32,"1,300点",5,2,2,2,45.5%,9,81.8%,25,6,13,20,6,29,7
2025,Bリーグ,レギュラー,15,はち,たちこまーず,9,156.9,17.4,2.11,"49,700点",34,"13,100点",4,2,1,2,44.4%,10,77.8%,38,13,14,31,12,31,8
2025,Bリーグ,レギュラー,16,リー,HIVE,7,139.6,19.9,2.14,"55,500点",22,"9,300点",3,1,2,1,42.9%,13,85.7%,20,24,15,18,22,19,11
2025,Bリーグ,レギュラー,17,せなmam@,enjoyすればイイ雀！,10,138.5,13.9,2.30,"96,300点",1,"-1,100点",3,3,2,2,30.0%,31,80.0%,29,29,16,24,27,1,25
2025,Bリーグ,レギュラー,18,坊や哲,たちこまーず,11,133.9,12.2,2.27,"94,300点",2,"4,800点",3,4,2,2,27.3%,35,81.8%,26,32,17,21,30,2,29
2025,Bリーグ,レギュラー,19,k-k,電光石火,9,115.8,12.9,2.11,"46,700点",43,"-2,100点",4,2,1,2,44.4%,11,77.8%,39,14,18,32,13,38,9
2025,Bリーグ,レギュラー,20,☆魔雀T塾生☆,教室生☆KSC,14,113.6,8.1,2.29,"49,600点",35,"-5,300点",3,7,1,3,21.4%,48,78.6%,37,36,19,30,34,32,41
2025,Bリーグ,レギュラー,21,Blush,enjoyすればイイ雀！,12,109.6,9.1,2.33,"45,800点",48,"-7,400点",5,2,1,4,41.7%,14,66.7%,65,7,20,56,7,43,12
2025,Bリーグ,レギュラー,22,せいたろう,HIVE,12,105,8.8,2.25,"48,100点",39,"-1,500点",5,2,2,3,41.7%,15,75.0%,46,8,21,39,8,34,13
2025,Bリーグ,レギュラー,23,ゆん,HIVE,5,90,18,2.20,"49,300点",36,"-3,700点",3,0,0,2,60.0%,2,60.0%,73,22,,,,,
2025,Bリーグ,レギュラー,24,銀河,enjoyすればイイ雀！,11,88.2,8,2.18,"42,200点",55,"9,400点",2,6,2,1,18.2%,56,90.9%,10,51,22,8,46,49,46
2025,Bリーグ,レギュラー,25,嫁 KI CHI,ＺＯＯ,3,87.7,29.2,1.67,"41,000点",59,"29,700点",1,2,0,0,33.3%,30,100.0%,6,54,,,,,
2025,Bリーグ,レギュラー,26,ミッキー柳井,電光石火,9,81.7,9.1,2.11,"46,400点",45,"1,600点",3,3,2,1,33.3%,26,88.9%,11,27,23,9,25,40,23
2025,Bリーグ,レギュラー,27,捜査一課長,サクラフレンズ,5,72.7,14.5,2.20,"56,200点",20,"15,500点",2,0,3,0,40.0%,16,100.0%,5,37,,,,,
2025,Bリーグ,レギュラー,28,とみちよ,ガラスのお面,8,71.2,8.9,2.38,"61,600点",11,"7,600点",3,1,2,2,37.5%,18,75.0%,48,26,24,41,24,11,15
2025,Bリーグ,レギュラー,29,りょう,ガラスのお面,16,70.8,4.4,2.38,"55,000点",25,"-10,100点",4,6,2,4,25.0%,38,75.0%,45,21,25,38,20,22,32
2025,Bリーグ,レギュラー,30,まびたん,最強位ズ,11,69.1,6.3,2.36,"61,300点",13,"2,100点",3,3,3,2,27.3%,36,81.8%,27,33,26,22,31,13,30
2025,Bリーグ,レギュラー,31,ねこます,最強位ズ,11,59.7,5.4,2.45,"57,500点",18,"9,100点",4,1,3,3,36.4%,20,72.7%,51,16,27,42,15,17,17
2025,Bリーグ,レギュラー,32,たくおっち,他力本願寺,6,53.7,9,2.33,"58,900点",16,"4,700点",2,1,2,1,33.3%,28,83.3%,22,38,,,,,
2025,Bリーグ,レギュラー,33,シクラメン富男,たちこまーず,7,42.7,6.1,2.29,"54,800点",26,"21,500点",1,3,3,0,14.3%,59,100.0%,4,59,28,4,49,23,49
2025,Bリーグ,レギュラー,34,鰤トニー,おたまーず,9,39.5,4.4,2.56,"70,600点",6,"5,300点",3,0,4,2,33.3%,27,77.8%,40,28,29,33,26,6,24
2025,Bリーグ,レギュラー,35,‪☆徳徳☆,サクラフレンズ,12,29.6,2.5,2.50,"66,600点",10,"5,900点",4,2,2,4,33.3%,24,66.7%,66,18,30,57,17,10,21
2025,Bリーグ,レギュラー,36,まぽぽ,HIVE,9,24.9,2.8,2.56,"61,100点",14,"8,900点",2,1,5,1,22.2%,42,88.9%,12,41,31,10,36,14,35
2025,Bリーグ,レギュラー,37,エイデン二号機,おたまーず,10,24.1,2.4,2.50,"60,100点",15,"7,000点",2,3,3,2,20.0%,49,80.0%,30,47,32,25,42,15,42
2025,Bリーグ,レギュラー,38,ミズゴロウ♂,たちこまーず,9,22.3,2.5,2.33,"42,000点",57,"-2,400点",2,3,3,1,22.2%,43,88.9%,13,42,33,11,37,51,36
2025,Bリーグ,レギュラー,39,かに,enjoyすればイイ雀！,6,18.5,3.1,2.50,"49,000点",37,"14,600点",2,0,3,1,33.3%,29,83.3%,23,39,,,,,
2025,Bリーグ,レギュラー,40,桐生れいか,他力本願寺,10,10.2,1,2.40,"51,300点",30,"20,300点",1,4,5,0,10.0%,68,100.0%,1,68,34,1,58,27,58
2025,Bリーグ,レギュラー,41,w-baby,教室生☆KSC,10,9.5,1,2.40,"38,300点",71,"5,200点",2,4,2,2,20.0%,50,80.0%,31,48,35,26,43,61,43
2025,Bリーグ,レギュラー,42,EmperorTime,電光石火,8,8.3,1,2.38,"48,800点",38,"7,000点",1,4,2,1,12.5%,64,87.5%,16,64,36,14,54,33,54
2025,Bリーグ,レギュラー,43,やっちょ,チームミラデミア,5,4.7,0.9,2.60,"57,400点",19,"18,400点",1,1,2,1,20.0%,53,80.0%,33,56,,,,,
2025,Bリーグ,レギュラー,44,どっち？弾平,電光石火,8,4.3,0.5,2.38,"42,000点",57,"10,500点",2,2,3,1,25.0%,39,87.5%,17,40,37,15,35,52,33
2025,Bリーグ,レギュラー,45,べびたん,enjoyすればイイ雀！,12,0.8,0.1,2.58,"40,700点",63,"-2,100点",4,0,5,3,33.3%,25,75.0%,47,19,38,40,18,56,22
2025,Bリーグ,レギュラー,46,大佐@天極牌,ガラスのお面,9,-2,-0.2,2.56,"36,800点",72,"9,200点",2,2,3,2,22.2%,44,77.8%,41,43,39,34,38,62,37
2025,Bリーグ,レギュラー,47,七対子大好き,enjoyすればイイ雀！,4,-9.4,-2.4,2.25,"36,700点",73,"-18,900点",1,2,0,1,25.0%,40,75.0%,49,55,,,,,
2025,Bリーグ,レギュラー,48,くすだま,サクラフレンズ,11,-11.9,-1.1,2.45,"53,500点",28,"-3,900点",3,3,2,3,27.3%,37,72.7%,52,34,40,43,32,25,31
2025,Bリーグ,レギュラー,49,けっけ,電光石火,10,-12.3,-1.2,2.60,"46,800点",42,"9,000点",3,1,3,3,30.0%,32,70.0%,58,30,41,49,28,37,26
2025,Bリーグ,レギュラー,50,ゆう,ガラスのお面,7,-23,-3.3,2.57,"50,200点",31,"3,100点",1,3,1,2,14.3%,60,71.4%,57,60,42,48,50,28,50
2025,Bリーグ,レギュラー,51,おぼろ,HIVE,4,-23.9,-6,2.50,"34,500点",79,"2,900点",0,3,0,1,0.0%,85,75.0%,50,79,,,,,
2025,Bリーグ,レギュラー,52,なおきち,サクラフレンズ,9,-41.8,-4.6,2.56,"47,500点",41,"14,800点",0,5,3,1,0.0%,76,88.9%,14,87,43,12,67,36,66
2025,Bリーグ,レギュラー,53,。☆悠紀子☆。,教室生☆KSC,9,-52.1,-5.8,2.67,"54,200点",27,"-22,100点",2,2,2,3,22.2%,45,66.7%,67,44,44,58,39,24,38
2025,Bリーグ,レギュラー,54,長谷川,他力本願寺,13,-57.2,-4.4,2.62,"45,800点",48,"4,100点",2,5,2,4,15.4%,58,69.2%,62,53,45,53,48,44,48
2025,Bリーグ,レギュラー,55,フミオ,電光石火,9,-57.3,-6.4,2.56,"45,700点",50,"-4,300点",1,3,4,1,11.1%,67,88.9%,15,67,46,13,57,45,57
2025,Bリーグ,レギュラー,56,Bu Ki Chi,ＺＯＯ,9,-59.6,-6.6,2.67,"42,600点",53,"5,500点",2,2,2,3,22.2%,46,66.7%,68,45,47,59,40,47,39
2025,Bリーグ,レギュラー,57,YOU太郎,他力本願寺,11,-63.5,-5.8,2.55,"41,000点",59,"-23,900点",4,1,2,4,36.4%,21,63.6%,71,17,48,61,16,53,18
2025,Bリーグ,レギュラー,58,最後のZ戦士達,HIVE,9,-71.7,-8,2.67,"39,900点",65,"-8,600点",2,2,2,3,22.2%,47,66.7%,69,46,49,60,41,57,40
2025,Bリーグ,レギュラー,59,灰鶴,他力本願寺,10,-73.2,-7.3,2.70,"55,100点",24,"-4,900点",3,0,4,3,30.0%,33,70.0%,59,31,50,50,29,21,27
2025,Bリーグ,レギュラー,60,Lucky,ガラスのお面,2,-73.3,-36.7,3.50,"21,200点",87,"5,500点",0,0,1,1,0.0%,87,50.0%,83,75,,,,,
2025,Bリーグ,レギュラー,61,ルイ14世,他力本願寺,3,-74.1,-24.7,3.33,"28,400点",84,"14,800点",0,0,2,1,0.0%,86,66.7%,70,78,,,,,
2025,Bリーグ,レギュラー,62,リョータ,最強位ズ,11,-74.7,-6.8,2.64,"39,700点",66,"-4,200点",2,3,3,3,18.2%,57,72.7%,53,52,51,44,47,58,47
2025,Bリーグ,レギュラー,63,凡野,おたまーず,10,-76.5,-7.7,2.70,"50,000点",32,"4,900点",2,2,3,3,20.0%,51,70.0%,60,49,52,51,44,30,44
2025,Bリーグ,レギュラー,64,ブロッケンG,enjoyすればイイ雀！,5,-78.2,-15.6,2.80,"31,800点",82,"-13,200点",1,1,1,2,20.0%,54,60.0%,74,57,,,,,
2025,Bリーグ,レギュラー,65,とり,他力本願寺,13,-80.6,-6.2,2.62,"45,900点",47,"-11,100点",3,3,3,4,23.1%,41,69.2%,63,35,53,54,33,42,34
2025,Bリーグ,レギュラー,66,ココロん,チームミラデミア,10,-83.9,-8.4,2.80,"41,000点",59,"10,900点",1,3,3,3,10.0%,69,70.0%,61,69,54,52,59,54,59
2025,Bリーグ,レギュラー,67,rinruka,ＺＯＯ,13,-84.5,-6.5,2.62,"40,900点",62,"3,200点",1,4,7,1,7.7%,73,92.3%,8,73,55,6,63,55,63
2025,Bリーグ,レギュラー,68,一之瀬 優,HIVE,2,-86.4,-43.2,3.50,"10,300点",89,"3,300点",0,0,1,1,0.0%,88,50.0%,84,76,,,,,
2025,Bリーグ,レギュラー,69,may,チームミラデミア,5,-88.4,-17.7,2.80,"29,000点",83,"-6,000点",0,2,2,1,0.0%,82,80.0%,34,80,,,,,
2025,Bリーグ,レギュラー,70,川端由紀,教室生☆KSC,9,-93.5,-10.4,2.78,"35,600点",75,"16,900点",0,4,3,2,0.0%,77,77.8%,42,88,56,35,68,64,67
2025,Bリーグ,レギュラー,71,二階堂ゴリエ,おたまーず,7,-95.2,-13.6,2.86,"46,700点",43,"3,000点",1,2,1,3,14.3%,61,57.1%,76,61,57,63,51,39,51
2025,Bリーグ,レギュラー,72,セシル,サクラフレンズ,2,-98.4,-49.2,4.00,"11,100点",88,"10,500点",0,0,0,2,0.0%,89,0.0%,89,77,,,,,
2025,Bリーグ,レギュラー,73,もっこり,おたまーず,10,-104,-10.4,2.90,"56,200点",20,"4,900点",2,2,1,5,20.0%,52,50.0%,78,50,58,65,45,18,45
2025,Bリーグ,レギュラー,74,おたま♪,おたまーず,5,-125.3,-25.1,3.20,"39,500点",67,"4,800点",1,0,1,3,20.0%,55,40.0%,87,58,,,,,
2025,Bリーグ,レギュラー,75,Redstar,教室生☆KSC,11,-129.8,-11.8,2.73,"35,200点",77,"6,200点",1,4,3,3,9.1%,70,72.7%,54,70,59,45,60,66,60
2025,Bリーグ,レギュラー,76,レレレ,ガラスのお面,5,-132.4,-26.5,3.00,"38,400点",70,"-24,800点",0,2,1,2,0.0%,83,60.0%,75,81,,,,,
2025,Bリーグ,レギュラー,77,inter,チームミラデミア,7,-137.4,-19.6,3.00,"42,500点",54,"3,700点",1,1,2,3,14.3%,62,57.1%,77,62,60,64,52,48,52
2025,Bリーグ,レギュラー,78,じゅねこ,enjoyすればイイ雀！,6,-143.6,-23.9,3.17,"40,100点",64,"5,800点",0,2,1,3,0.0%,80,50.0%,81,83,,,,,
2025,Bリーグ,レギュラー,79,超番長ケイン,チームミラデミア,7,-143.7,-20.5,3.14,"32,000点",81,"6,300点",1,1,1,4,14.3%,63,42.9%,85,63,61,68,53,69,53
2025,Bリーグ,レギュラー,80,Nukoshi,チームミラデミア,11,-162.8,-14.8,2.91,"39,000点",68,"-1,000点",1,2,5,3,9.1%,71,72.7%,55,71,62,46,61,59,61
2025,Bリーグ,レギュラー,81,郷 ひろし,HIVE,10,-167.5,-16.8,2.90,"35,300点",76,"1,300点",0,3,5,2,0.0%,75,80.0%,32,89,63,27,69,65,65
2025,Bリーグ,レギュラー,82,桜咲ななみ,サクラフレンズ,8,-172.5,-21.6,3.00,"46,100点",46,"-15,400点",0,4,0,4,0.0%,78,50.0%,79,86,64,66,66,41,68
2025,Bリーグ,レギュラー,83,ひろとだポン,チームミラデミア,8,-185.3,-23.2,3.00,"38,800点",69,"-17,900点",1,2,1,4,12.5%,65,50.0%,80,65,65,67,55,60,55
2025,Bリーグ,レギュラー,84,Hiromu,最強位ズ,11,-195.5,-17.8,2.91,"42,100点",56,"-4,700点",1,2,5,3,9.1%,72,72.7%,56,72,66,47,62,50,62
2025,Bリーグ,レギュラー,85,時々さんじょ,サクラフレンズ,6,-228.5,-38.1,3.33,"26,300点",85,"-7,800点",0,1,2,3,0.0%,81,50.0%,82,84,,,,,
2025,Bリーグ,レギュラー,86,くれば,おたまーず,8,-235.7,-29.5,3.13,"34,900点",78,"-27,600点",1,0,4,3,12.5%,66,62.5%,72,66,67,62,56,67,56
2025,Bリーグ,レギュラー,87,こすぎっち,ガラスのお面,5,-249,-49.8,3.60,"25,100点",86,"-27,500点",0,1,0,4,0.0%,84,20.0%,88,82,,,,,
2025,Bリーグ,レギュラー,88,としや,たちこまーず,7,-254.4,-36.3,3.43,"32,200点",80,"-5,300点",0,1,2,4,0.0%,79,42.9%,86,85,68,69,65,68,69
2025,Bリーグ,レギュラー,89,元教室生タク,教室生☆KSC,13,-304.1,-23.4,2.92,"36,200点",74,"-9,900点",1,3,5,4,7.7%,74,69.2%,64,74,69,55,64,63,64
