年度,リーグ,ステージ,順位,選手名,チーム名,試合数,ポイント,平均スコア,平均順位,最高得点,最高得点順位,最低得点,トップ数,2着数,3着数,4着数,トップ率,トップ率順位,ラス回避率,ラス回避率順位,最多勝利順位,ポイント賞順位,ラス回避率賞順位,最多勝利賞順位,最高得点賞順位,トップ率賞順位
2025,Aリーグ,レギュラー,85,おもも,クレイジーダイヤモンド,6,-114,-19,2.83,"30,800点",99,"-4,200点",0,2,3,1,0.0%,94,83.3%,41,98,,,,,
2025,Aリーグ,レギュラー,86,五月雨真空,TEAM THE ChampLoo,6,-114.7,-19.1,2.83,"35,700点",88,"-6,000点",1,1,2,2,16.7%,73,66.7%,75,73,,,,,
2025,Aリーグ,レギュラー,87,打撃系ヤルカツ,MJAC愛好会,6,-118.8,-19.8,3.00,"46,500点",52,"-5,900点",2,0,0,4,33.3%,35,33.3%,105,42,,,,,
2025,Aリーグ,レギュラー,88,ベヘリット,レッドリボン軍,4,-122.1,-30.5,3.25,"28,400点",102,"-8,600点",0,1,1,2,0.0%,101,50.0%,97,93,,,,,
2025,Aリーグ,レギュラー,89,ツナマヨ,武装,9,-125.4,-13.9,2.78,"36,300点",87,-300点,1,3,2,3,11.1%,81,66.7%,66,81,57,50,55,64,55
2025,Aリーグ,レギュラー,90,サヴェ松田,SSブルーバーズ,9,-130.3,-14.5,2.89,"55,900点",33,"-10,700点",2,2,0,5,22.2%,59,44.4%,99,55,58,65,46,26,45
2025,Aリーグ,レギュラー,91,狐-style,TEAM THE ChampLoo,9,-132.1,-14.7,2.78,"58,200点",22,"-18,000点",1,3,2,3,11.1%,82,66.7%,67,82,59,51,56,17,56
2025,Aリーグ,レギュラー,92,溝渕智也,Team MJ lovers,15,-132.9,-8.9,2.73,"49,200点",43,"-5,100点",3,3,4,5,20.0%,60,66.7%,64,33,60,48,33,34,46
2025,Aリーグ,レギュラー,93,安住太一,TEAM AJITO,9,-136.4,-15.2,2.89,"45,400点",58,"3,400点",1,2,3,3,11.1%,83,66.7%,68,83,61,52,57,44,57
2025,Aリーグ,レギュラー,94,とと,レッドリボン軍,5,-136.6,-27.3,3.20,"37,800点",84,"-1,100点",1,0,1,3,20.0%,67,40.0%,101,67,,,,,
2025,Aリーグ,レギュラー,95,B地区,レッドリボン軍,5,-141.7,-28.3,3.20,"31,100点",97,"2,300点",0,2,0,3,0.0%,98,40.0%,102,94,,,,,
2025,Aリーグ,レギュラー,96,中出雄介,Team MJ lovers,5,-147.6,-29.5,3.20,"30,000点",100,"-12,900点",0,2,0,3,0.0%,99,40.0%,103,95,,,,,
2025,Aリーグ,レギュラー,97,海賊王,さわやかMJ野郎の会,9,-159.4,-17.7,2.89,"40,100点",76,"-10,700点",1,2,3,3,11.1%,84,66.7%,69,84,62,53,58,55,58
2025,Aリーグ,レギュラー,98,つかぴー,MJAC愛好会,6,-162.3,-27.1,3.17,"30,900点",98,"6,400点",0,1,3,2,0.0%,95,66.7%,76,99,,,,,
2025,Aリーグ,レギュラー,99,やまだたろう,TEAM THE ChampLoo,6,-167.9,-28,3.33,"27,000点",105,"10,200点",0,1,2,3,0.0%,96,50.0%,95,100,,,,,
2025,Aリーグ,レギュラー,100,湾奥アングラー,MJAC愛好会,8,-171.1,-21.4,3.13,"38,900点",82,"6,000点",1,1,2,4,12.5%,78,50.0%,92,78,63,63,52,61,52
2025,Aリーグ,レギュラー,101,はなびん,さわやかMJ野郎の会,6,-190.3,-31.7,3.17,"32,900点",94,"-14,300点",0,2,1,3,0.0%,97,50.0%,96,101,,,,,
2025,Aリーグ,レギュラー,102,あばだんご,TEAM AJITO,5,-192.1,-38.4,3.60,"31,500点",96,"-7,500点",0,0,2,3,0.0%,100,40.0%,104,96,,,,,
2025,Aリーグ,レギュラー,103,乙子,武装,8,-192.3,-24,3.13,"43,500点",64,"-3,900点",1,1,2,4,12.5%,79,50.0%,93,79,64,64,53,48,53
2025,Aリーグ,レギュラー,104,TOM,TEAM AJITO,10,-228.9,-22.9,3.10,"37,400点",85,"-3,000点",2,1,1,6,20.0%,61,40.0%,100,56,65,66,47,63,47
2025,Aリーグ,レギュラー,105,とむとむ,武装,10,-342.5,-34.3,3.30,"27,200点",104,"-20,500点",0,1,5,4,0.0%,89,60.0%,84,105,66,58,66,66,63
2025,Bリーグ,セミファイナル,1,サンタマルコ,ＺＯＯ,3,116.4,38.8,1.67,"62,100点",3,"20,100点",2,0,1,0,66.7%,4,100.0%,4,2,,,,,
2025,Bリーグ,セミファイナル,2,カルア,HIVE,2,116.2,58.1,1.00,"38,500点",19,"37,700点",2,0,0,0,100.0%,1,100.0%,12,1,,,,,
2025,Bリーグ,セミファイナル,3,リョータ,最強位ズ,3,92.4,30.8,1.67,"43,600点",11,"14,600点",2,0,1,0,66.7%,5,100.0%,5,3,,,,,
2025,Bリーグ,セミファイナル,4,郷 ひろし,HIVE,3,92.2,30.7,1.67,"39,700点",14,"17,200点",2,0,1,0,66.7%,6,100.0%,6,4,,,,,
2025,Bリーグ,セミファイナル,5,嫁 KI CHI,ＺＯＯ,1,87,87,1.00,"67,000点",1,"67,000点",1,0,0,0,100.0%,2,100.0%,17,7,,,,,
