年度,リーグ,ステージ,試合No,日付,時間,チーム名,選手名,スコア,着順,試合,得点,選手ID
2026,Bリーグ,レギュラー, 104 ,2026/06/08,22:29:45,チートイズ,014のりたま,73.1,1着,第二試合,53100,P0011
2026,Bリーグ,レギュラー, 104 ,2026/06/08,22:29:45,楽しめばイイ雀,Kou,3.9,2着,,23900,P0038
2026,Bリーグ,レギュラー, 104 ,2026/06/08,22:29:45,他力本願寺,とり,-18.9,3着,,21100,P0148
2026,Bリーグ,レギュラー, 104 ,2026/06/08,22:29:45,おたまーず,くれば,-58.1,4着,,1900,P0101
2026,Aリーグ,レギュラー, 105 ,2026/06/08,22:35:12,武装,フィクション,63.9,1着,第二試合,43900,P0165
2026,Aリーグ,レギュラー, 105 ,2026/06/08,22:35:12,MJAC愛好会,つかぴー,5.3,2着,,25300,P0137
2026,Aリーグ,レギュラー, 105 ,2026/06/08,22:35:12,enjoyすればイイ雀！,せなmam@,-21.7,3着,,18300,P0124
2026,Aリーグ,レギュラー, 105 ,2026/06/08,22:35:12,たちこまーず,よつば@tobi,-47.5,4着,,12500,P0211
2026,Bリーグ,レギュラー, 106 ,2026/06/08,22:40:29,Brave Revengers,nesre,67.7,1着,第二試合,47700,P0047
2026,Bリーグ,レギュラー, 106 ,2026/06/08,22:40:29,TEAM AJITO,chemi,14.5,2着,,34500,P0022
2026,Bリーグ,レギュラー, 106 ,2026/06/08,22:40:29,La vie en Rose,シェリさん,-24.5,3着,,15500,P0112
2026,Bリーグ,レギュラー, 106 ,2026/06/08,22:40:29,さわやかMJ野郎の会,だてまきたまご,-57.7,4着,,2300,P0135
2026,Aリーグ,レギュラー, 107 ,2026/06/08,22:48:58,最強位ズ,まびたん,70.9,1着,第一試合,50900,P0187
2026,Aリーグ,レギュラー, 107 ,2026/06/08,22:48:58,MJ東京,Mychemi,25.1,2着,,45100,P0044
2026,Aリーグ,レギュラー, 107 ,2026/06/08,22:48:58,HIVE,ぼうや@HIVE,-19.3,3着,,20700,P0177
2026,Aリーグ,レギュラー, 107 ,2026/06/08,22:48:58,SILVER WOLVES,店長倍損の上司,-76.7,4着,,-16700,P0302
2026,Aリーグ,レギュラー, 108 ,2026/06/08,22:57:13,電光石火,どっち？弾平,71.3,1着,第二試合,51300,P0143
2026,Aリーグ,レギュラー, 108 ,2026/06/08,22:57:13,SSブルーバーズ,きめっち,9.4,2着,,29400,P0095
2026,Aリーグ,レギュラー, 108 ,2026/06/08,22:57:13,レッドリボン軍,なおすけ,-15.4,3着,,24600,P0150
2026,Aリーグ,レギュラー, 108 ,2026/06/08,22:57:13,ＺＯＯ,Bu Ki Chi,-65.3,4着,,-5300,P0020
2026,Aリーグ,レギュラー, 109 ,2026/06/09,21:30:47,武装,アベキング,66.9,1着,第一試合,46900,P0070
2026,Aリーグ,レギュラー, 109 ,2026/06/09,21:30:47,ＺＯＯ,戯言遣い,4.2,2着,,24200,P0242
2026,Aリーグ,レギュラー, 109 ,2026/06/09,21:30:47,MJ東京,J,-23.4,3着,,16600,P0032
2026,Aリーグ,レギュラー, 109 ,2026/06/09,21:30:47,レッドリボン軍,小倉唯,-47.7,4着,,12300,P0273
2026,Aリーグ,レギュラー, 110 ,2026/06/09,21:33:59,電光石火,魔王,54.4,1着,第一試合,34400,P0312
2026,Aリーグ,レギュラー, 110 ,2026/06/09,21:33:59,たちこまーず,たちこま,6.8,2着,,26800,P0134
2026,Aリーグ,レギュラー, 110 ,2026/06/09,21:33:59,最強位ズ,ｒｒｒｒｒｒ,-17.1,3着,,22900,P0053
2026,Aリーグ,レギュラー, 110 ,2026/06/09,21:33:59,SILVER WOLVES,橋本るり子,-44.1,4着,,15900,P0249
2026,Bリーグ,レギュラー, 111 ,2026/06/09,21:37:18,さわやかMJ野郎の会,黒太郎@SMY会,75.0,1着,第一試合,55000,P0260
2026,Bリーグ,レギュラー, 111 ,2026/06/09,21:37:18,他力本願寺,桐生れいか,7.7,2着,,27700,P0252
2026,Bリーグ,レギュラー, 111 ,2026/06/09,21:37:18,Vertice,みーやん19,-16.5,3着,,23500,P0192
2026,Bリーグ,レギュラー, 111 ,2026/06/09,21:37:18,La vie en Rose,匕首◆,-66.2,4着,,-6200,P0325
2026,Aリーグ,レギュラー, 112 ,2026/06/09,21:39:10,SSブルーバーズ,鈴木正道,71.5,1着,第一試合,51500,P0004
2026,Aリーグ,レギュラー, 112 ,2026/06/09,21:39:10,MJAC愛好会,おかぴー,19.3,2着,,39300,P0079
2026,Aリーグ,レギュラー, 112 ,2026/06/09,21:39:10,HIVE,ぽこぽこぽこり,-19.9,3着,,20100,P0179
2026,Aリーグ,レギュラー, 112 ,2026/06/09,21:39:10,enjoyすればイイ雀！,かに,-70.9,4着,,-10900,P0091
2026,Bリーグ,レギュラー, 113 ,2026/06/09,21:41:05,Team MJ lovers,溝渕智也,72.5,1着,第一試合,52500,P0259
2026,Bリーグ,レギュラー, 113 ,2026/06/09,21:41:05,チートイズ,dia,32.2,2着,,52200,P0023
2026,Bリーグ,レギュラー, 113 ,2026/06/09,21:41:05,教室生☆KSC,Anmi,-28.9,3着,,11100,P0016
2026,Bリーグ,レギュラー, 113 ,2026/06/09,21:41:05,Brave Revengers,だーはら,-75.8,4着,,-15800,P0129
2026,Bリーグ,レギュラー, 114 ,2026/06/09,21:41:41,IRU,aoking,71.6,1着,第一試合,51600,P0017
2026,Bリーグ,レギュラー, 114 ,2026/06/09,21:41:41,TEAM AJITO,TOM,0.0,2着,,20000,P0057
2026,Bリーグ,レギュラー, 114 ,2026/06/09,21:41:41,おたまーず,おたま♪,-21.0,3着,,19000,P0084
2026,Bリーグ,レギュラー, 114 ,2026/06/09,21:41:41,楽しめばイイ雀,小四喜大好き,-50.6,4着,,9400,P0272
2026,Aリーグ,レギュラー, 115 ,2026/06/09,22:26:59,たちこまーず,シクラメン富男,63.2,1着,第二試合,43200,P0113
2026,Aリーグ,レギュラー, 115 ,2026/06/09,22:26:59,電光石火,k-k,9.2,2着,,29200,P0034
2026,Aリーグ,レギュラー, 115 ,2026/06/09,22:26:59,最強位ズ,リョータ,-19.4,3着,,20600,P0217
2026,Aリーグ,レギュラー, 115 ,2026/06/09,22:26:59,SILVER WOLVES,田口淳之介,-53.0,4着,,7000,P0269
2026,Aリーグ,レギュラー, 116 ,2026/06/09,22:32:51,武装,しんじゃうツモ,49.7,1着,第二試合,29700,P0119
2026,Aリーグ,レギュラー, 116 ,2026/06/09,22:32:51,ＺＯＯ,rinruka,9.3,2着,,29300,P0052
2026,Aリーグ,レギュラー, 116 ,2026/06/09,22:32:51,レッドリボン軍,レッド総帥,-16.8,3着,,23200,P0221
2026,Aリーグ,レギュラー, 116 ,2026/06/09,22:32:51,MJ東京,aimoni,-42.2,4着,,17800,P0015
2026,Aリーグ,レギュラー, 117 ,2026/06/09,22:37:00,MJAC愛好会,湾奥アングラー,57.6,1着,第二試合,37600,P0323
2026,Aリーグ,レギュラー, 117 ,2026/06/09,22:37:00,HIVE,ぽこぽこぽこり,5.9,2着,,25900,P0179
2026,Aリーグ,レギュラー, 117 ,2026/06/09,22:37:00,SSブルーバーズ,石田亮太,-19.9,3着,,20100,P0014
2026,Aリーグ,レギュラー, 117 ,2026/06/09,22:37:00,enjoyすればイイ雀！,べびたん,-43.6,4着,,16400,P0173
2026,Bリーグ,レギュラー, 118 ,2026/06/09,22:39:45,他力本願寺,桐生れいか,66.2,1着,第二試合,46200,P0252
2026,Bリーグ,レギュラー, 118 ,2026/06/09,22:39:45,Vertice,しょう&るな,7.3,2着,,27300,P0117
2026,Bリーグ,レギュラー, 118 ,2026/06/09,22:39:45,さわやかMJ野郎の会,Blue-K18,-18.3,3着,,21700,P0018
2026,Bリーグ,レギュラー, 118 ,2026/06/09,22:39:45,La vie en Rose,★神威★,-55.2,4着,,4800,P0007
2026,Bリーグ,レギュラー, 119 ,2026/06/09,22:40:54,教室生☆KSC,☆魔雀T塾生☆,79.2,1着,第二試合,59200,P0010
2026,Bリーグ,レギュラー, 119 ,2026/06/09,22:40:54,Team MJ lovers,溝渕智也,12.6,2着,,32600,P0259
2026,Bリーグ,レギュラー, 119 ,2026/06/09,22:40:54,チートイズ,あすてる,-14.3,3着,,25700,P0067
2026,Bリーグ,レギュラー, 119 ,2026/06/09,22:40:54,Brave Revengers,みり,-77.5,4着,,-17500,P0196
2026,Bリーグ,レギュラー, 120 ,2026/06/09,22:48:00,楽しめばイイ雀,くすだま,61.0,1着,第二試合,41000,P0098
2026,Bリーグ,レギュラー, 120 ,2026/06/09,22:48:00,おたまーず,鰤トニー,15.4,2着,,35400,P0326
2026,Bリーグ,レギュラー, 120 ,2026/06/09,22:48:00,IRU,shige,-19.1,3着,,20900,P0056
2026,Bリーグ,レギュラー, 120 ,2026/06/09,22:48:00,TEAM AJITO,明信,-57.3,4着,,2700,P0315
2026,Bリーグ,レギュラー, 121 ,2026/06/11,21:29:50,Team MJ lovers,ysk,58.3,1着,第一試合,38300,P0065
2026,Bリーグ,レギュラー, 121 ,2026/06/11,21:29:50,Vertice,フィーレン,14.2,2着,,34200,P0164
2026,Bリーグ,レギュラー, 121 ,2026/06/11,21:29:50,おたまーず,羽田暁音,-21.7,3着,,18300,P0232
2026,Bリーグ,レギュラー, 121 ,2026/06/11,21:29:50,楽しめばイイ雀,nana.jo,-50.8,4着,,9200,P0045
2026,Aリーグ,レギュラー, 122 ,2026/06/11,21:35:04,電光石火,魔王,65.5,1着,第一試合,45500,P0312
2026,Aリーグ,レギュラー, 122 ,2026/06/11,21:35:04,武装,ゆんゆん,24.3,2着,,44300,P0210
2026,Aリーグ,レギュラー, 122 ,2026/06/11,21:35:04,SILVER WOLVES,まーくん RMU,-28.6,3着,,11400,P0184
2026,Aリーグ,レギュラー, 122 ,2026/06/11,21:35:04,SSブルーバーズ,おむ,-61.2,4着,,-1200,P0086
2026,Bリーグ,レギュラー, 123 ,2026/06/11,21:35:29,さわやかMJ野郎の会,黒太郎@SMY会,59.0,1着,第一試合,39000,P0260
2026,Bリーグ,レギュラー, 123 ,2026/06/11,21:35:29,IRU,shige,13.5,2着,,33500,P0056
2026,Bリーグ,レギュラー, 123 ,2026/06/11,21:35:29,チートイズ,014のりたま,-16.1,3着,,23900,P0011
2026,Bリーグ,レギュラー, 123 ,2026/06/11,21:35:29,他力本願寺,灰鶴,-56.4,4着,,3600,P0239
2026,Aリーグ,レギュラー, 124 ,2026/06/11,21:36:57,ＺＯＯ,すー,90.3,1着,第一試合,70300,P0121
2026,Aリーグ,レギュラー, 124 ,2026/06/11,21:36:57,MJAC愛好会,ロッキンポ,29.8,2着,,49800,P0223
2026,Aリーグ,レギュラー, 124 ,2026/06/11,21:36:57,たちこまーず,JILL,-40.7,3着,,-700,P0033
2026,Aリーグ,レギュラー, 124 ,2026/06/11,21:36:57,レッドリボン軍,かじ,-79.4,4着,,-19400,P0090
2026,Bリーグ,レギュラー, 125 ,2026/06/11,21:43:06,TEAM AJITO,神田大行,70.5,1着,第一試合,50500,P0282
2026,Bリーグ,レギュラー, 125 ,2026/06/11,21:43:06,La vie en Rose,まんまる,27.4,2着,,47400,P0190
2026,Bリーグ,レギュラー, 125 ,2026/06/11,21:43:06,Brave Revengers,サブ垢先輩,-34.6,3着,,5400,P0109
2026,Bリーグ,レギュラー, 125 ,2026/06/11,21:43:06,教室生☆KSC,☆魔雀T塾生☆,-63.3,4着,,-3300,P0010
2026,Aリーグ,レギュラー, 126 ,2026/06/11,21:48:13,enjoyすればイイ雀！,Blush,57.7,1着,第一試合,37700,P0019
2026,Aリーグ,レギュラー, 126 ,2026/06/11,21:48:13,HIVE,郷 ひろし,9.8,2着,,29800,P0250
2026,Aリーグ,レギュラー, 126 ,2026/06/11,21:48:13,MJ東京,キラ、,-16.5,3着,,23500,P0096
2026,Aリーグ,レギュラー, 126 ,2026/06/11,21:48:13,最強位ズ,ｒｒｒｒｒｒ,-51.0,4着,,9000,P0053
2026,Bリーグ,レギュラー, 127 ,2026/06/11,22:24:17,楽しめばイイ雀,わたちゃん,62.8,1着,第二試合,42800,P0226
2026,Bリーグ,レギュラー, 127 ,2026/06/11,22:24:17,おたまーず,羽田暁音,1.1,2着,,21100,P0232
2026,Bリーグ,レギュラー, 127 ,2026/06/11,22:24:17,Team MJ lovers,喜多剛士@μ,-20.9,3着,,19100,P0241
2026,Bリーグ,レギュラー, 127 ,2026/06/11,22:24:17,Vertice,みーやん19,-43.0,4着,,17000,P0192
2026,Bリーグ,レギュラー, 128 ,2026/06/11,22:32:26,さわやかMJ野郎の会,★月刃★,58.0,1着,第二試合,38000,P0006
2026,Bリーグ,レギュラー, 128 ,2026/06/11,22:32:26,他力本願寺,まんまるきや,10.3,2着,,30300,P0191
2026,Bリーグ,レギュラー, 128 ,2026/06/11,22:32:26,チートイズ,じんぱぱ,-12.7,3着,,27300,P0120
2026,Bリーグ,レギュラー, 128 ,2026/06/11,22:32:26,IRU,猪突猛進男,-55.6,4着,,4400,P0299
2026,Aリーグ,レギュラー, 129 ,2026/06/11,22:32:36,電光石火,どっち？弾平,59.1,1着,第二試合,39100,P0143
2026,Aリーグ,レギュラー, 129 ,2026/06/11,22:32:36,SILVER WOLVES,上野あいみ,1.9,2着,,21900,P0279
2026,Aリーグ,レギュラー, 129 ,2026/06/11,22:32:36,武装,赤哲,-18.9,3着,,21100,P0288
2026,Aリーグ,レギュラー, 129 ,2026/06/11,22:32:36,SSブルーバーズ,ポテト吉野,-42.1,4着,,17900,P0181
2026,Aリーグ,レギュラー, 130 ,2026/06/11,22:33:34,HIVE,せいたろう,67.9,1着,第二試合,47900,P0122
2026,Aリーグ,レギュラー, 130 ,2026/06/11,22:33:34,最強位ズ,Hiromu,4.6,2着,,24600,P0030
2026,Aリーグ,レギュラー, 130 ,2026/06/11,22:33:34,enjoyすればイイ雀！,みや,-23.2,3着,,16800,P0195
2026,Aリーグ,レギュラー, 130 ,2026/06/11,22:33:34,MJ東京,葛餅,-49.3,4着,,10700,P0240
2026,Aリーグ,レギュラー, 131 ,2026/06/11,22:37:45,レッドリボン軍,くまさぶろー,57.9,1着,第二試合,37900,P0100
2026,Aリーグ,レギュラー, 131 ,2026/06/11,22:37:45,ＺＯＯ,ご飯にバター,6.2,2着,,26200,P0106
2026,Aリーグ,レギュラー, 131 ,2026/06/11,22:37:45,たちこまーず,まぽぽ,-20.6,3着,,19400,P0188
2026,Aリーグ,レギュラー, 131 ,2026/06/11,22:37:45,MJAC愛好会,冬のミルク,-43.5,4着,,16500,P0304
2026,Bリーグ,レギュラー, 132 ,2026/06/11,22:48:43,TEAM AJITO,神田大行,60.4,1着,第二試合,40400,P0282
2026,Bリーグ,レギュラー, 132 ,2026/06/11,22:48:43,La vie en Rose,ふとふと,8.1,2着,,28100,P0167
2026,Bリーグ,レギュラー, 132 ,2026/06/11,22:48:43,Brave Revengers,りゅー,-21.6,3着,,18400,P0215
2026,Bリーグ,レギュラー, 132 ,2026/06/11,22:48:43,教室生☆KSC,悠紀子,-46.9,4着,,13100,P0318
2026,Aリーグ,レギュラー, 133 ,2026/06/12,21:22:13,HIVE,カルア,61.6,1着,第一試合,41600,P0093
2026,Aリーグ,レギュラー, 133 ,2026/06/12,21:22:13,SSブルーバーズ,Hara,17.6,2着,,37600,P0029
2026,Aリーグ,レギュラー, 133 ,2026/06/12,21:22:13,ＺＯＯ,サンタマルコ,-26.4,3着,,13600,P0110
2026,Aリーグ,レギュラー, 133 ,2026/06/12,21:22:13,たちこまーず,シクラメン富男,-52.8,4着,,7200,P0113
2026,Bリーグ,レギュラー, 134 ,2026/06/12,21:33:59,La vie en Rose,ジョーカー,64.6,1着,第一試合,44600,P0118
2026,Bリーグ,レギュラー, 134 ,2026/06/12,21:33:59,他力本願寺,YOU太郎,23.7,2着,,43700,P0064
2026,Bリーグ,レギュラー, 134 ,2026/06/12,21:33:59,IRU,？？？？？,-33.5,3着,,6500,P0001
2026,Bリーグ,レギュラー, 134 ,2026/06/12,21:33:59,おたまーず,エイデン二号機,-54.8,4着,,5200,P0075
2026,Aリーグ,レギュラー, 135 ,2026/06/12,21:35:57,enjoyすればイイ雀！,銀河,70.9,1着,第一試合,50900,P0253
2026,Aリーグ,レギュラー, 135 ,2026/06/12,21:35:57,MJ東京,キラ、,14.7,2着,,34700,P0096
2026,Aリーグ,レギュラー, 135 ,2026/06/12,21:35:57,SILVER WOLVES,松崎真也,-21.8,3着,,18200,P0276
2026,Aリーグ,レギュラー, 135 ,2026/06/12,21:35:57,MJAC愛好会,教室生 ユウ,-63.8,4着,,-3800,P0248
2026,Bリーグ,レギュラー, 136 ,2026/06/12,21:43:08,Vertice,moka,56.9,1着,第一試合,36900,P0042
2026,Bリーグ,レギュラー, 136 ,2026/06/12,21:43:08,チートイズ,公務員麻雀M,10.1,2着,,30100,P0258
2026,Bリーグ,レギュラー, 136 ,2026/06/12,21:43:08,楽しめばイイ雀,ゆうやなのだ,-22.6,3着,,17400,P0205
2026,Bリーグ,レギュラー, 136 ,2026/06/12,21:43:08,Brave Revengers,仇森龍,-44.4,4着,,15600,P0245
2026,Aリーグ,レギュラー, 137 ,2026/06/12,21:50:49,武装,年賀状,65.8,1着,第一試合,45800,P0307
2026,Aリーグ,レギュラー, 137 ,2026/06/12,21:50:49,電光石火,けっけ,20.6,2着,,40600,P0102
2026,Aリーグ,レギュラー, 137 ,2026/06/12,21:50:49,最強位ズ,ねこます,-24.2,3着,,15800,P0155
2026,Aリーグ,レギュラー, 137 ,2026/06/12,21:50:49,レッドリボン軍,B地区,-62.2,4着,,-2200,P0021
2026,Bリーグ,レギュラー, 138 ,2026/06/12,21:57:58,さわやかMJ野郎の会,黙示録@SMY会,79.1,1着,第一試合,59100,P0316
2026,Bリーグ,レギュラー, 138 ,2026/06/12,21:57:58,TEAM AJITO,支援紳士,22.5,2着,,42500,P0265
2026,Bリーグ,レギュラー, 138 ,2026/06/12,21:57:58,Team MJ lovers,ゆっしー@,-30.9,3着,,9100,P0207
2026,Bリーグ,レギュラー, 138 ,2026/06/12,21:57:58,教室生☆KSC,w-baby,-70.7,4着,,-10700,P0060
2026,Bリーグ,レギュラー, 139 ,2026/06/12,22:24:11,La vie en Rose,３１０７,55.6,1着,第二試合,35600,P0013
2026,Bリーグ,レギュラー, 139 ,2026/06/12,22:24:11,他力本願寺,とり,7.4,2着,,27400,P0148
2026,Bリーグ,レギュラー, 139 ,2026/06/12,22:24:11,おたまーず,樹央,-17.4,3着,,22600,P0268
2026,Bリーグ,レギュラー, 139 ,2026/06/12,22:24:11,IRU,奥山瞭,-45.6,4着,,14400,P0216
2026,Bリーグ,レギュラー, 140 ,2026/06/12,22:28:44,教室生☆KSC,元教室生タク,54.7,1着,第二試合,34700,P0255
2026,Bリーグ,レギュラー, 140 ,2026/06/12,22:28:44,TEAM AJITO,ｋｅｎ@あじと,4.7,2着,,24700,P0036
2026,Bリーグ,レギュラー, 140 ,2026/06/12,22:28:44,Team MJ lovers,小林宏康,-17.3,3着,,22700,P0275
2026,Bリーグ,レギュラー, 140 ,2026/06/12,22:28:44,さわやかMJ野郎の会,Blue-K18,-42.1,4着,,17900,P0018
2026,Aリーグ,レギュラー, 141 ,2026/06/12,22:30:50,SSブルーバーズ,ハナノア,64.1,1着,第二試合,44100,P0158
2026,Aリーグ,レギュラー, 141 ,2026/06/12,22:30:50,たちこまーず,よつば@tobi,1.3,2着,,21300,P0211
2026,Aリーグ,レギュラー, 141 ,2026/06/12,22:30:50,HIVE,最後のZ戦士達,-19.0,3着,,21000,P0261
2026,Aリーグ,レギュラー, 141 ,2026/06/12,22:30:50,ＺＯＯ,すー,-46.4,4着,,13600,P0121
2026,Bリーグ,レギュラー, 142 ,2026/06/12,22:41:29,Brave Revengers,ペン,59.6,1着,第二試合,39600,P0175
2026,Bリーグ,レギュラー, 142 ,2026/06/12,22:41:29,Vertice,フィーレン,11.2,2着,,31200,P0164
2026,Bリーグ,レギュラー, 142 ,2026/06/12,22:41:29,楽しめばイイ雀,七対子大好き,-15.7,3着,,24300,P0267
2026,Bリーグ,レギュラー, 142 ,2026/06/12,22:41:29,チートイズ,じんぱぱ,-55.1,4着,,4900,P0120
2026,Aリーグ,レギュラー, 143 ,2026/06/12,22:49:44,SILVER WOLVES,阿賀寿直,56.3,1着,第二試合,36300,P0228
2026,Aリーグ,レギュラー, 143 ,2026/06/12,22:49:44,MJ東京,Mychemi,7.8,2着,,27800,P0044
2026,Aリーグ,レギュラー, 143 ,2026/06/12,22:49:44,enjoyすればイイ雀！,ブロッケンG,-14.2,3着,,25800,P0170
2026,Aリーグ,レギュラー, 143 ,2026/06/12,22:49:44,MJAC愛好会,打撃系ヤルカツ,-49.9,4着,,10100,P0295
2026,Aリーグ,レギュラー, 144 ,2026/06/12,22:50:48,レッドリボン軍,なおすけ,79.3,1着,第二試合,59300,P0150
2026,Aリーグ,レギュラー, 144 ,2026/06/12,22:50:48,最強位ズ,ダイゴ＠LA,15.1,2着,,35100,P0130
2026,Aリーグ,レギュラー, 144 ,2026/06/12,22:50:48,電光石火,フミオ,-34.6,3着,,5400,P0168
2026,Aリーグ,レギュラー, 144 ,2026/06/12,22:50:48,武装,とむとむ,-59.8,4着,,200,P0146
2026,Aリーグ,レギュラー, 145 ,2026/06/15,21:29:05,HIVE,ぼうや@HIVE,50.4,1着,第一試合,30400,P0177
2026,Aリーグ,レギュラー, 145 ,2026/06/15,21:29:05,電光石火,EmperorTime,10.2,2着,,30200,P0024
2026,Aリーグ,レギュラー, 145 ,2026/06/15,21:29:05,MJ東京,J,-14.6,3着,,25400,P0032
2026,Aリーグ,レギュラー, 145 ,2026/06/15,21:29:05,レッドリボン軍,梁瀬健太郎,-46.0,4着,,14000,P0063
2026,Aリーグ,レギュラー, 146 ,2026/06/15,21:31:37,enjoyすればイイ雀！,じゅねこ,59.2,1着,第一試合,39200,P0116
2026,Aリーグ,レギュラー, 146 ,2026/06/15,21:31:37,MJAC愛好会,つかぴー,3.8,2着,,23800,P0137
2026,Aリーグ,レギュラー, 146 ,2026/06/15,21:31:37,たちこまーず,まぽぽ,-20.2,3着,,19800,P0188
2026,Aリーグ,レギュラー, 146 ,2026/06/15,21:31:37,最強位ズ,リョータ,-42.8,4着,,17200,P0217
2026,Aリーグ,レギュラー, 147 ,2026/06/15,21:36:13,SILVER WOLVES,店長倍損の上司,69.9,1着,第一試合,49900,P0302
2026,Aリーグ,レギュラー, 147 ,2026/06/15,21:36:13,SSブルーバーズ,ポテト吉野,18.5,2着,,38500,P0181
2026,Aリーグ,レギュラー, 147 ,2026/06/15,21:36:13,ＺＯＯ,rinruka,-20.8,3着,,19200,P0052
2026,Aリーグ,レギュラー, 147 ,2026/06/15,21:36:13,武装,ツナマヨ,-67.6,4着,,-7600,P0138
2026,Bリーグ,レギュラー, 148 ,2026/06/15,21:42:05,Team MJ lovers,喜多剛士@μ,58.5,1着,第一試合,38500,P0241
2026,Bリーグ,レギュラー, 148 ,2026/06/15,21:42:05,教室生☆KSC,元教室生タク,10.5,2着,,30500,P0255
2026,Bリーグ,レギュラー, 148 ,2026/06/15,21:42:05,La vie en Rose,★神威★,-19.5,3着,,20500,P0007
2026,Bリーグ,レギュラー, 148 ,2026/06/15,21:42:05,Vertice,みーやん19,-49.5,4着,,10500,P0192
2026,Bリーグ,レギュラー, 149 ,2026/06/15,21:47:08,TEAM AJITO,KGRS,64.5,1着,第一試合,44500,P0037
2026,Bリーグ,レギュラー, 149 ,2026/06/15,21:47:08,他力本願寺,灰鶴,18.6,2着,,38600,P0239
2026,Bリーグ,レギュラー, 149 ,2026/06/15,21:47:08,おたまーず,エイデン二号機,-20.9,3着,,19100,P0075
2026,Bリーグ,レギュラー, 149 ,2026/06/15,21:47:08,Brave Revengers,だーはら,-62.2,4着,,-2200,P0129
2026,Bリーグ,レギュラー, 150 ,2026/06/15,21:53:11,さわやかMJ野郎の会,パイ乙戦士全ツ,66.1,1着,第一試合,46100,P0156
2026,Bリーグ,レギュラー, 150 ,2026/06/15,21:53:11,チートイズ,dia,7.4,2着,,27400,P0023
2026,Bリーグ,レギュラー, 150 ,2026/06/15,21:53:11,楽しめばイイ雀,Kou,-15.7,3着,,24300,P0038
2026,Bリーグ,レギュラー, 150 ,2026/06/15,21:53:11,IRU,aoking,-57.8,4着,,2200,P0017
2026,Bリーグ,レギュラー, 151 ,2026/06/15,22:29:11,おたまーず,樹央,77.9,1着,第二試合,57900,P0268
2026,Bリーグ,レギュラー, 151 ,2026/06/15,22:29:11,Brave Revengers,仇森龍,31.6,2着,,51600,P0245
2026,Bリーグ,レギュラー, 151 ,2026/06/15,22:29:11,TEAM AJITO,支援紳士,-28.5,3着,,11500,P0265
2026,Bリーグ,レギュラー, 151 ,2026/06/15,22:29:11,他力本願寺,桐生れいか,-81.0,4着,,-21000,P0252
2026,Aリーグ,レギュラー, 152 ,2026/06/15,22:31:16,電光石火,k-k,59.7,1着,第二試合,39700,P0034
2026,Aリーグ,レギュラー, 152 ,2026/06/15,22:31:16,レッドリボン軍,小倉唯,10.2,2着,,30200,P0273
2026,Aリーグ,レギュラー, 152 ,2026/06/15,22:31:16,MJ東京,Mychemi,-23.5,3着,,16500,P0044
2026,Aリーグ,レギュラー, 152 ,2026/06/15,22:31:16,HIVE,せいたろう,-46.4,4着,,13600,P0122
2026,Bリーグ,レギュラー, 153 ,2026/06/15,22:31:32,さわやかMJ野郎の会,ソニア@SMY会,65.5,1着,第二試合,45500,P0127
2026,Bリーグ,レギュラー, 153 ,2026/06/15,22:31:32,IRU,猪突猛進男,4.7,2着,,24700,P0299
2026,Bリーグ,レギュラー, 153 ,2026/06/15,22:31:32,チートイズ,おさやスイープ,-20.1,3着,,19900,P0081
2026,Bリーグ,レギュラー, 153 ,2026/06/15,22:31:32,楽しめばイイ雀,nana.jo,-50.1,4着,,9900,P0045
2026,Aリーグ,レギュラー, 154 ,2026/06/15,22:31:38,ＺＯＯ,サンタマルコ,87.0,1着,第二試合,67000,P0110
2026,Aリーグ,レギュラー, 154 ,2026/06/15,22:31:38,SILVER WOLVES,まーくん RMU,7.7,2着,,27700,P0184
2026,Aリーグ,レギュラー, 154 ,2026/06/15,22:31:38,SSブルーバーズ,ハナノア,-30.7,3着,,9300,P0158
2026,Aリーグ,レギュラー, 154 ,2026/06/15,22:31:38,武装,アベキング,-64.0,4着,,-4000,P0070
2026,Bリーグ,レギュラー, 155 ,2026/06/15,22:41:43,La vie en Rose,ポルタ,59.6,1着,第二試合,39600,P0182
2026,Bリーグ,レギュラー, 155 ,2026/06/15,22:41:43,Team MJ lovers,小林宏康,8.4,2着,,28400,P0275
2026,Bリーグ,レギュラー, 155 ,2026/06/15,22:41:43,教室生☆KSC,☆魔雀T塾生☆,-21.7,3着,,18300,P0010
2026,Bリーグ,レギュラー, 155 ,2026/06/15,22:41:43,Vertice,しょう&るな,-46.3,4着,,13700,P0117
2026,Aリーグ,レギュラー, 156 ,2026/06/15,22:43:12,enjoyすればイイ雀！,ブロッケンG,58.8,1着,第二試合,38800,P0170
2026,Aリーグ,レギュラー, 156 ,2026/06/15,22:43:12,最強位ズ,まびたん,2.7,2着,,22700,P0187
2026,Aリーグ,レギュラー, 156 ,2026/06/15,22:43:12,MJAC愛好会,亜空間コツボー,-17.9,3着,,22100,P0227
2026,Aリーグ,レギュラー, 156 ,2026/06/15,22:43:12,たちこまーず,はち,-43.6,4着,,16400,P0157
2026,Bリーグ,レギュラー, 157 ,2026/06/16,21:30:10,教室生☆KSC,元教室生タク,56.1,1着,第一試合,36100,P0255
2026,Bリーグ,レギュラー, 157 ,2026/06/16,21:30:10,おたまーず,おたま♪,5.3,2着,,25300,P0084
