年度,リーグ,ステージ,試合No,日付,時間,チーム名,選手名,スコア,着順,試合,得点,選手ID
2026,Aリーグ,レギュラー, 11 ,2026/05/25,22:45:47,最強位ズ,ダイゴ＠LA,-19.2,3着,,20800,P0130
2026,Aリーグ,レギュラー, 11 ,2026/05/25,22:45:47,電光石火,どっち？弾平,-54.9,4着,,5100,P0143
2026,Bリーグ,レギュラー, 12 ,2026/05/25,22:55:43,Vertice,みーやん19,75.1,1着,第二試合,55100,P0192
2026,Bリーグ,レギュラー, 12 ,2026/05/25,22:55:43,おたまーず,樹央,-0.7,2着,,19300,P0268
2026,Bリーグ,レギュラー, 12 ,2026/05/25,22:55:43,他力本願寺,とり,-25.2,3着,,14800,P0148
2026,Bリーグ,レギュラー, 12 ,2026/05/25,22:55:43,La vie en Rose,ふとふと,-49.2,4着,,10800,P0167
2026,Bリーグ,レギュラー, 13 ,2026/05/26,21:32:43,おたまーず,エイデン二号機,62.9,1着,第一試合,42900,P0075
2026,Bリーグ,レギュラー, 13 ,2026/05/26,21:32:43,Vertice,moka,7.7,2着,,27700,P0042
2026,Bリーグ,レギュラー, 13 ,2026/05/26,21:32:43,教室生☆KSC,Anmi,-16.1,3着,,23900,P0016
2026,Bリーグ,レギュラー, 13 ,2026/05/26,21:32:43,TEAM AJITO,TOM,-54.5,4着,,5500,P0057
2026,Bリーグ,レギュラー, 14 ,2026/05/26,21:38:24,他力本願寺,YOU太郎,64.7,1着,第一試合,44700,P0064
2026,Bリーグ,レギュラー, 14 ,2026/05/26,21:38:24,Brave Revengers,みり,6.7,2着,,26700,P0196
2026,Bリーグ,レギュラー, 14 ,2026/05/26,21:38:24,IRU,aoking,-24.4,3着,,15600,P0017
2026,Bリーグ,レギュラー, 14 ,2026/05/26,21:38:24,チートイズ,公務員麻雀M,-47.0,4着,,13000,P0258
2026,Bリーグ,レギュラー, 15 ,2026/05/26,21:41:52,La vie en Rose,まんまる,57.7,1着,第一試合,37700,P0190
2026,Bリーグ,レギュラー, 15 ,2026/05/26,21:41:52,さわやかMJ野郎の会,つよ,8.6,2着,,28600,P0139
2026,Bリーグ,レギュラー, 15 ,2026/05/26,21:41:52,Team MJ lovers,溝渕智也,-21.6,3着,,18400,P0259
2026,Bリーグ,レギュラー, 15 ,2026/05/26,21:41:52,楽しめばイイ雀,小四喜大好き,-44.7,4着,,15300,P0272
2026,Aリーグ,レギュラー, 16 ,2026/05/26,21:44:38,武装,しんじゃうツモ,58.2,1着,第一試合,38200,P0119
2026,Aリーグ,レギュラー, 16 ,2026/05/26,21:44:38,HIVE,カルア,9.8,2着,,29800,P0093
2026,Aリーグ,レギュラー, 16 ,2026/05/26,21:44:38,SSブルーバーズ,おむ,-23.5,3着,,16500,P0086
2026,Aリーグ,レギュラー, 16 ,2026/05/26,21:44:38,電光石火,魔王,-44.5,4着,,15500,P0312
2026,Aリーグ,レギュラー, 17 ,2026/05/26,21:56:34,レッドリボン軍,とと,89.7,1着,第一試合,69700,P0144
2026,Aリーグ,レギュラー, 17 ,2026/05/26,21:56:34,MJ東京,キラ、,22.9,2着,,42900,P0096
2026,Aリーグ,レギュラー, 17 ,2026/05/26,21:56:34,enjoyすればイイ雀！,かに,-40.1,3着,,-100,P0091
2026,Aリーグ,レギュラー, 17 ,2026/05/26,21:56:34,たちこまーず,おしゃる,-72.5,4着,,-12500,P0082
2026,Bリーグ,レギュラー, 18 ,2026/05/26,22:27:59,教室生☆KSC,Redstar,52.6,1着,第二試合,32600,P0051
2026,Bリーグ,レギュラー, 18 ,2026/05/26,22:27:59,TEAM AJITO,支援紳士,8.8,2着,,28800,P0265
2026,Bリーグ,レギュラー, 18 ,2026/05/26,22:27:59,おたまーず,鰤トニー,-17.2,3着,,22800,P0326
2026,Bリーグ,レギュラー, 18 ,2026/05/26,22:27:59,Vertice,ゆうー,-44.2,4着,,15800,P0203
2026,Bリーグ,レギュラー, 19 ,2026/05/26,22:31:15,La vie en Rose,３１０７,64.6,1着,第二試合,44600,P0013
2026,Bリーグ,レギュラー, 19 ,2026/05/26,22:31:15,Team MJ lovers,溝渕智也,-0.6,2着,,19400,P0259
2026,Bリーグ,レギュラー, 19 ,2026/05/26,22:31:15,さわやかMJ野郎の会,だてまきたまご,-20.8,3着,,19200,P0135
2026,Bリーグ,レギュラー, 19 ,2026/05/26,22:31:15,楽しめばイイ雀,Kou,-43.2,4着,,16800,P0038
2026,Bリーグ,レギュラー, 20 ,2026/05/26,22:34:57,Brave Revengers,だーはら,65.7,1着,第二試合,45700,P0129
2026,Bリーグ,レギュラー, 20 ,2026/05/26,22:34:57,IRU,？？？？？,6.5,2着,,26500,P0001
2026,Bリーグ,レギュラー, 20 ,2026/05/26,22:34:57,チートイズ,あすてる,-14.1,3着,,25900,P0067
2026,Bリーグ,レギュラー, 20 ,2026/05/26,22:34:57,他力本願寺,まんまるきや,-58.1,4着,,1900,P0191
2026,Aリーグ,レギュラー, 21 ,2026/05/26,22:36:12,レッドリボン軍,レッド総帥,28.2,1着,第二試合,8200,P0221
2026,Aリーグ,レギュラー, 21 ,2026/05/26,22:36:12,たちこまーず,シクラメン富男,28.2,1着,,8200,P0113
2026,Aリーグ,レギュラー, 21 ,2026/05/26,22:36:12,MJ東京,aimoni,-15.1,3着,,24900,P0015
2026,Aリーグ,レギュラー, 21 ,2026/05/26,22:36:12,enjoyすればイイ雀！,みや,-41.3,4着,,18700,P0195
2026,Aリーグ,レギュラー, 22 ,2026/05/26,22:37:10,MJAC愛好会,ロッキンポ,52.0,1着,第一試合,32000,P0223
2026,Aリーグ,レギュラー, 22 ,2026/05/26,22:37:10,SILVER WOLVES,阿賀寿直,9.1,2着,,29100,P0228
2026,Aリーグ,レギュラー, 22 ,2026/05/26,22:37:10,最強位ズ,Hiromu,-18.6,3着,,21400,P0030
2026,Aリーグ,レギュラー, 22 ,2026/05/26,22:37:10,ＺＯＯ,すー,-42.5,4着,,17500,P0121
2026,Aリーグ,レギュラー, 23 ,2026/05/26,22:45:58,SILVER WOLVES,上野あいみ,66.6,1着,第二試合,46600,P0279
2026,Aリーグ,レギュラー, 23 ,2026/05/26,22:45:58,MJAC愛好会,冬のミルク,5.5,2着,,25500,P0304
2026,Aリーグ,レギュラー, 23 ,2026/05/26,22:45:58,最強位ズ,ブ茶ラティ,-17.2,3着,,22800,P0171
2026,Aリーグ,レギュラー, 23 ,2026/05/26,22:45:58,ＺＯＯ,Bu Ki Chi,-54.9,4着,,5100,P0020
2026,Aリーグ,レギュラー, 24 ,2026/05/26,22:47:55,SSブルーバーズ,ポテト吉野,78.8,1着,第二試合,58800,P0181
2026,Aリーグ,レギュラー, 24 ,2026/05/26,22:47:55,武装,アベキング,12.0,2着,,32000,P0070
2026,Aリーグ,レギュラー, 24 ,2026/05/26,22:47:55,電光石火,けっけ,-34.1,3着,,5900,P0102
2026,Aリーグ,レギュラー, 24 ,2026/05/26,22:47:55,HIVE,最後のZ戦士達,-56.7,4着,,3300,P0261
2026,Aリーグ,レギュラー, 25 ,2026/05/28,21:27:01,武装,ゆんゆん,58.5,1着,第一試合,38500,P0210
2026,Aリーグ,レギュラー, 25 ,2026/05/28,21:27:01,HIVE,郷 ひろし,7.5,2着,,27500,P0250
2026,Aリーグ,レギュラー, 25 ,2026/05/28,21:27:01,最強位ズ,ｒｒｒｒｒｒ,-20.3,3着,,19700,P0053
2026,Aリーグ,レギュラー, 25 ,2026/05/28,21:27:01,レッドリボン軍,小倉唯,-45.7,4着,,14300,P0273
2026,Bリーグ,レギュラー, 26 ,2026/05/28,21:32:37,他力本願寺,灰鶴,64.4,1着,第一試合,44400,P0239
2026,Bリーグ,レギュラー, 26 ,2026/05/28,21:32:37,さわやかMJ野郎の会,はなびん,1.5,2着,,21500,P0159
2026,Bリーグ,レギュラー, 26 ,2026/05/28,21:32:37,教室生☆KSC,元教室生タク,-20.6,3着,,19400,P0255
2026,Bリーグ,レギュラー, 26 ,2026/05/28,21:32:37,楽しめばイイ雀,nana.jo,-45.3,4着,,14700,P0045
2026,Aリーグ,レギュラー, 27 ,2026/05/28,21:35:57,ＺＯＯ,戯言遣い,71.4,1着,第一試合,51400,P0242
2026,Aリーグ,レギュラー, 27 ,2026/05/28,21:35:57,電光石火,k-k,2.9,2着,,22900,P0034
2026,Aリーグ,レギュラー, 27 ,2026/05/28,21:35:57,enjoyすればイイ雀！,銀河,-23.3,3着,,16700,P0253
2026,Aリーグ,レギュラー, 27 ,2026/05/28,21:35:57,SILVER WOLVES,まーくん RMU,-51.0,4着,,9000,P0184
2026,Bリーグ,レギュラー, 28 ,2026/05/28,21:41:19,チートイズ,じんぱぱ,60.9,1着,第一試合,40900,P0120
2026,Bリーグ,レギュラー, 28 ,2026/05/28,21:41:19,Team MJ lovers,喜多剛士@μ,12.1,2着,,32100,P0241
2026,Bリーグ,レギュラー, 28 ,2026/05/28,21:41:19,TEAM AJITO,KGRS,-8.4,3着,,31600,P0037
2026,Bリーグ,レギュラー, 28 ,2026/05/28,21:41:19,Vertice,抹茶,-64.6,4着,,-4600,P0314
2026,Aリーグ,レギュラー, 29 ,2026/05/28,21:45:47,たちこまーず,JILL,63.6,1着,第一試合,43600,P0033
2026,Aリーグ,レギュラー, 29 ,2026/05/28,21:45:47,MJ東京,J,17.9,2着,,37900,P0032
2026,Aリーグ,レギュラー, 29 ,2026/05/28,21:45:47,MJAC愛好会,つかぴー,-24.1,3着,,15900,P0137
2026,Aリーグ,レギュラー, 29 ,2026/05/28,21:45:47,SSブルーバーズ,Hara,-57.4,4着,,2600,P0029
2026,Bリーグ,レギュラー, 30 ,2026/05/28,21:53:07,おたまーず,くれば,67.3,1着,第一試合,47300,P0101
2026,Bリーグ,レギュラー, 30 ,2026/05/28,21:53:07,Brave Revengers,nesre,8.9,2着,,28900,P0047
2026,Bリーグ,レギュラー, 30 ,2026/05/28,21:53:07,La vie en Rose,ポルタ,-26.8,3着,,13200,P0182
2026,Bリーグ,レギュラー, 30 ,2026/05/28,21:53:07,IRU,奥山瞭,-49.4,4着,,10600,P0216
2026,Aリーグ,レギュラー, 31 ,2026/05/28,22:27:59,MJ東京,えんがわ,61.6,1着,第二試合,41600,P0078
2026,Aリーグ,レギュラー, 31 ,2026/05/28,22:27:59,MJAC愛好会,亜空間コツボー,16.5,2着,,36500,P0227
2026,Aリーグ,レギュラー, 31 ,2026/05/28,22:27:59,たちこまーず,はち,-19.6,3着,,20400,P0157
2026,Aリーグ,レギュラー, 31 ,2026/05/28,22:27:59,SSブルーバーズ,ハナノア,-58.5,4着,,1500,P0158
2026,Aリーグ,レギュラー, 32 ,2026/05/28,22:34:31,HIVE,ぽこぽこぽこり,58.9,1着,第二試合,38900,P0179
2026,Aリーグ,レギュラー, 32 ,2026/05/28,22:34:31,武装,赤哲,14.0,2着,,34000,P0288
2026,Aリーグ,レギュラー, 32 ,2026/05/28,22:34:31,最強位ズ,ねこます,-21.8,3着,,18200,P0155
2026,Aリーグ,レギュラー, 32 ,2026/05/28,22:34:31,レッドリボン軍,ベヘリット,-51.1,4着,,8900,P0174
2026,Bリーグ,レギュラー, 33 ,2026/05/28,22:35:31,おたまーず,樹央,53.3,1着,第二試合,33300,P0268
2026,Bリーグ,レギュラー, 33 ,2026/05/28,22:35:31,La vie en Rose,シェリさん,4.2,2着,,24200,P0112
2026,Bリーグ,レギュラー, 33 ,2026/05/28,22:35:31,Brave Revengers,ペン,-18.3,3着,,21700,P0175
2026,Bリーグ,レギュラー, 33 ,2026/05/28,22:35:31,IRU,蒼,-39.2,4着,,20800,P0293
2026,Bリーグ,レギュラー, 34 ,2026/05/28,22:38:30,教室生☆KSC,元教室生タク,51.7,1着,第二試合,31700,P0255
2026,Bリーグ,レギュラー, 34 ,2026/05/28,22:38:30,楽しめばイイ雀,七対子大好き,8.3,2着,,28300,P0267
2026,Bリーグ,レギュラー, 34 ,2026/05/28,22:38:30,さわやかMJ野郎の会,★月刃★,-15.6,3着,,24400,P0006
2026,Bリーグ,レギュラー, 34 ,2026/05/28,22:38:30,他力本願寺,とり,-44.4,4着,,15600,P0148
2026,Bリーグ,レギュラー, 35 ,2026/05/28,22:48:26,TEAM AJITO,明信,75.4,1着,第二試合,55400,P0315
2026,Bリーグ,レギュラー, 35 ,2026/05/28,22:48:26,チートイズ,あすてる,11.5,2着,,31500,P0067
2026,Bリーグ,レギュラー, 35 ,2026/05/28,22:48:26,Team MJ lovers,ゆっしー@,-29.6,3着,,10400,P0207
2026,Bリーグ,レギュラー, 35 ,2026/05/28,22:48:26,Vertice,しょう&るな,-57.3,4着,,2700,P0117
2026,Aリーグ,レギュラー, 36 ,2026/05/28,22:54:17,ＺＯＯ,ご飯にバター,77.8,1着,第二試合,57800,P0106
2026,Aリーグ,レギュラー, 36 ,2026/05/28,22:54:17,enjoyすればイイ雀！,せなmam@,21.9,2着,,41900,P0124
2026,Aリーグ,レギュラー, 36 ,2026/05/28,22:54:17,SILVER WOLVES,店長倍損の上司,-20.1,3着,,19900,P0302
2026,Aリーグ,レギュラー, 36 ,2026/05/28,22:54:17,電光石火,フミオ,-79.6,4着,,-19600,P0168
2026,Bリーグ,レギュラー, 37 ,2026/05/29,21:27:09,チートイズ,しげぞー,72.7,1着,第一試合,52700,P0114
2026,Bリーグ,レギュラー, 37 ,2026/05/29,21:27:09,おたまーず,羽田暁音,17.2,2着,,37200,P0232
2026,Bリーグ,レギュラー, 37 ,2026/05/29,21:27:09,さわやかMJ野郎の会,黙示録@SMY会,-13.9,3着,,26100,P0316
2026,Bリーグ,レギュラー, 37 ,2026/05/29,21:27:09,教室生☆KSC,Redstar,-76.0,4着,,-16000,P0051
2026,Aリーグ,レギュラー, 38 ,2026/05/29,21:31:50,SILVER WOLVES,松崎真也,65.1,1着,第一試合,45100,P0276
2026,Aリーグ,レギュラー, 38 ,2026/05/29,21:31:50,レッドリボン軍,梁瀬健太郎,24.6,2着,,44600,P0063
2026,Aリーグ,レギュラー, 38 ,2026/05/29,21:31:50,enjoyすればイイ雀！,Blush,-28.6,3着,,11400,P0019
2026,Aリーグ,レギュラー, 38 ,2026/05/29,21:31:50,SSブルーバーズ,サヴェ松田,-61.1,4着,,-1100,P0107
2026,Aリーグ,レギュラー, 39 ,2026/05/29,21:37:14,武装,年賀状,64.5,1着,第一試合,44500,P0307
2026,Aリーグ,レギュラー, 39 ,2026/05/29,21:37:14,ＺＯＯ,サンタマルコ,3.5,2着,,23500,P0110
2026,Aリーグ,レギュラー, 39 ,2026/05/29,21:37:14,最強位ズ,Hiromu,-21.9,3着,,18100,P0030
2026,Aリーグ,レギュラー, 39 ,2026/05/29,21:37:14,MJAC愛好会,ロンリーボーイ,-46.1,4着,,13900,P0224
2026,Bリーグ,レギュラー, 40 ,2026/05/29,21:41:24,楽しめばイイ雀,ゆうやなのだ,56.2,1着,第一試合,36200,P0205
2026,Bリーグ,レギュラー, 40 ,2026/05/29,21:41:24,La vie en Rose,匕首◆,8.5,2着,,28500,P0325
2026,Bリーグ,レギュラー, 40 ,2026/05/29,21:41:24,IRU,？？？？？,-19.9,3着,,20100,P0001
2026,Bリーグ,レギュラー, 40 ,2026/05/29,21:41:24,Team MJ lovers,μゆぅちゃん,-44.8,4着,,15200,P0327
2026,Aリーグ,レギュラー, 41 ,2026/05/29,21:42:17,電光石火,魔王,77.4,1着,第一試合,57400,P0312
2026,Aリーグ,レギュラー, 41 ,2026/05/29,21:42:17,たちこまーず,たちこま,5.3,2着,,25300,P0134
2026,Aリーグ,レギュラー, 41 ,2026/05/29,21:42:17,MJ東京,aimoni,-27.8,3着,,12200,P0015
2026,Aリーグ,レギュラー, 41 ,2026/05/29,21:42:17,HIVE,ぼうや@HIVE,-54.9,4着,,5100,P0177
2026,Bリーグ,レギュラー, 42 ,2026/05/29,21:47:50,他力本願寺,YOU太郎,82.1,1着,第一試合,62100,P0064
2026,Bリーグ,レギュラー, 42 ,2026/05/29,21:47:50,TEAM AJITO,ヤス,6.1,2着,,26100,P0199
2026,Bリーグ,レギュラー, 42 ,2026/05/29,21:47:50,Brave Revengers,サブ垢先輩,-29.0,3着,,11000,P0109
2026,Bリーグ,レギュラー, 42 ,2026/05/29,21:47:50,Vertice,抹茶,-59.2,4着,,800,P0314
2026,Aリーグ,レギュラー, 43 ,2026/05/29,22:27:00,電光石火,EmperorTime,79.2,1着,第二試合,59200,P0024
2026,Aリーグ,レギュラー, 43 ,2026/05/29,22:27:00,HIVE,せいたろう,-1.0,2着,,19000,P0122
